# mean; median; std; sam; rmse; rmse; ergas; uqi
4.24101;3.00000;5.91228;0.24079;7.27607;0.02853;0.19691;0.96790
5.00309;3.00000;8.76394;0.29318;10.09146;0.03957;0.19691;0.95688
4.20695;2.00000;8.43139;0.26809;9.42267;0.03695;0.19691;0.95196
3.87286;1.00000;9.14761;0.29568;9.93367;0.03896;0.19691;0.94512
3.70622;1.00000;10.18859;0.33320;10.84174;0.04252;0.19691;0.94147
3.76813;1.00000;11.08717;0.37284;11.71000;0.04592;0.19691;0.92637
3.75929;1.00000;11.20572;0.38608;11.81949;0.04635;0.19691;0.90661
3.85580;1.00000;11.48447;0.39366;12.11447;0.04751;0.19691;0.87789
3.79240;1.00000;10.58517;0.35674;11.24403;0.04409;0.19691;0.91826
3.68948;1.00000;9.03073;0.29488;9.75532;0.03826;0.19691;0.93755
3.66540;1.00000;7.86698;0.21348;8.67897;0.03404;0.19691;0.94959
4.56354;2.00000;7.95666;0.14773;9.17248;0.03597;0.19691;0.94591
5.72368;2.00000;8.68425;0.14523;10.40081;0.04079;0.19691;0.93063
4.94263;2.00000;7.53359;0.14055;9.01025;0.03533;0.19691;0.94137
3.82172;1.00000;6.26522;0.12973;7.33884;0.02878;0.19691;0.95568
2.77030;1.00000;5.15542;0.12179;5.85260;0.02295;0.19691;0.95281
2.61283;1.00000;4.72426;0.12748;5.39866;0.02117;0.19691;0.94205
3.07389;1.00000;5.80685;0.14431;6.57026;0.02577;0.19691;0.93903
3.59216;1.00000;6.94827;0.13644;7.82190;0.03067;0.19691;0.94893
3.82869;2.00000;7.05601;0.10885;8.02783;0.03148;0.19691;0.95598
4.18240;2.00000;6.51236;0.08418;7.73972;0.03035;0.19691;0.95155
4.48151;2.00000;6.30301;0.08766;7.73381;0.03033;0.19691;0.95574
4.77468;2.00000;6.59320;0.10815;8.14051;0.03192;0.19691;0.96493
5.06702;2.00000;6.86584;0.12159;8.53314;0.03346;0.19691;0.95614
5.26956;3.00000;6.97082;0.12959;8.73845;0.03427;0.19691;0.95072
5.45194;3.00000;7.18562;0.14176;9.01980;0.03537;0.19691;0.94453
5.73586;3.00000;7.49405;0.15547;9.43721;0.03701;0.19691;0.93951
6.14255;3.00000;8.08354;0.17631;10.15257;0.03981;0.19691;0.93472
6.46760;3.00000;8.46736;0.19216;10.65486;0.04178;0.19691;0.92735
6.52404;3.00000;8.38023;0.19222;10.62032;0.04165;0.19691;0.93766
7.09044;4.00000;8.29151;0.19089;10.90979;0.04278;0.19691;0.92695
