# MSE;MAE
0.0156242;0.0890192
0.0106536;0.0745408
0.0095959;0.0709511
0.0091803;0.0695501
0.0089041;0.0684669
0.0087082;0.0676019
0.0085307;0.0670771
0.0084112;0.0666191
0.0083064;0.0661445
0.0081530;0.0655345
0.0080520;0.0652038
0.0079897;0.0649223
0.0078412;0.0643685
0.0077613;0.0641168
0.0077411;0.0639646
0.0076141;0.0633869
0.0075261;0.0629392
0.0074966;0.0629809
0.0074029;0.0625676
0.0073535;0.0622218
0.0072708;0.0619118
0.0072879;0.0618184
0.0071512;0.0613593
0.0071834;0.0614661
0.0070354;0.0609002
0.0070390;0.0608343
0.0069865;0.0606714
0.0069960;0.0605455
0.0068749;0.0602008
0.0068730;0.0600871
0.0067983;0.0598422
0.0067995;0.0597456
0.0066802;0.0592643
0.0067491;0.0595480
0.0066451;0.0590754
0.0066662;0.0592071
0.0066440;0.0590488
0.0065139;0.0586340
0.0065292;0.0586058
0.0065201;0.0585847
0.0064561;0.0583098
0.0065194;0.0585632
0.0063965;0.0581258
0.0063391;0.0579243
0.0063302;0.0578933
0.0063300;0.0578480
0.0062385;0.0575777
0.0062815;0.0576687
0.0062315;0.0574497
0.0062417;0.0574965
0.0061558;0.0571545
0.0061279;0.0571589
0.0061710;0.0572424
0.0060978;0.0569029
0.0060607;0.0568375
0.0060450;0.0567056
0.0060657;0.0567836
0.0060828;0.0567678
0.0059665;0.0564718
0.0060204;0.0567092
0.0059184;0.0563144
0.0060076;0.0566575
0.0058506;0.0559765
0.0059309;0.0562894
0.0059012;0.0560047
0.0058318;0.0558861
0.0058613;0.0559910
0.0057921;0.0557700
0.0058241;0.0558306
0.0057342;0.0554759
0.0057646;0.0555423
0.0057957;0.0557253
0.0057166;0.0554277
0.0058313;0.0557573
0.0056604;0.0552547
0.0056847;0.0552938
0.0056648;0.0552355
0.0057698;0.0556020
0.0055981;0.0549433
0.0057285;0.0553683
0.0056256;0.0549854
0.0056647;0.0552257
0.0055446;0.0547378
0.0056014;0.0549552
0.0055866;0.0548792
0.0055504;0.0546753
0.0055147;0.0544771
0.0055559;0.0547033
0.0055486;0.0547279
0.0054780;0.0544276
0.0055065;0.0545527
0.0054831;0.0544275
0.0054384;0.0541911
0.0054715;0.0543783
0.0054992;0.0545114
0.0054268;0.0541513
0.0054142;0.0541486
0.0054257;0.0541690
0.0053818;0.0540321
0.0054555;0.0542300
0.0053903;0.0539656
0.0053483;0.0539363
0.0053343;0.0539097
0.0053423;0.0538276
0.0053506;0.0538473
0.0053386;0.0538218
0.0053600;0.0539205
0.0053557;0.0537643
0.0053129;0.0537379
0.0052850;0.0536038
0.0053742;0.0539480
0.0052962;0.0536048
0.0052720;0.0535388
0.0052438;0.0534162
0.0052233;0.0533035
0.0052995;0.0536618
0.0052534;0.0534064
