# MSE;MAE
0.0474461;0.1781301
0.0455726;0.1724321
0.0446475;0.1707258
0.0431828;0.1673691
0.0378133;0.1558356
0.0262998;0.1244333
0.0186848;0.1013739
0.0177216;0.0968487
0.0174929;0.0973347
0.0171457;0.0953782
0.0164637;0.0935890
0.0159158;0.0916723
0.0157055;0.0907612
0.0156078;0.0898239
0.0160427;0.0920665
0.0153245;0.0885962
0.0150189;0.0887396
0.0146515;0.0871523
0.0146130;0.0871373
0.0145391;0.0862943
0.0148122;0.0883987
0.0141911;0.0852193
0.0142241;0.0849605
0.0140125;0.0845708
0.0139968;0.0852872
0.0139691;0.0850704
0.0137328;0.0842815
0.0139163;0.0840123
0.0140824;0.0847462
0.0139590;0.0860400
0.0135312;0.0827406
0.0139243;0.0846456
0.0133998;0.0822745
0.0133473;0.0820193
0.0133880;0.0823258
0.0132603;0.0819324
0.0134512;0.0820120
0.0134307;0.0831233
0.0132222;0.0817473
0.0137005;0.0837256
0.0135706;0.0834864
0.0133226;0.0819760
0.0132952;0.0823907
0.0130441;0.0812849
0.0127108;0.0800798
0.0127042;0.0796805
0.0130297;0.0820186
0.0127010;0.0797378
0.0126553;0.0798441
0.0123950;0.0788620
0.0125509;0.0789392
0.0131090;0.0821589
0.0126506;0.0800374
0.0124621;0.0796067
0.0121066;0.0777197
0.0122297;0.0786012
0.0119636;0.0773106
0.0119122;0.0772836
0.0117374;0.0763729
0.0117267;0.0766600
0.0115296;0.0758718
0.0118353;0.0774874
0.0111884;0.0742344
0.0113992;0.0754417
0.0113367;0.0755066
0.0111667;0.0746204
0.0109296;0.0733721
0.0108587;0.0734460
0.0109437;0.0743994
0.0110979;0.0743523
0.0107543;0.0734868
0.0108103;0.0742056
0.0110424;0.0755786
0.0108616;0.0747998
0.0106716;0.0738556
0.0100646;0.0713728
0.0100914;0.0716058
0.0100249;0.0714997
0.0107640;0.0761182
0.0101574;0.0721271
0.0096041;0.0703494
0.0096053;0.0706232
0.0095337;0.0702230
0.0093516;0.0697068
0.0096597;0.0713508
0.0096940;0.0715504
0.0094845;0.0706757
0.0097177;0.0715183
0.0088785;0.0678298
0.0087410;0.0674377
0.0090816;0.0688231
0.0092119;0.0715987
0.0093308;0.0708475
0.0091714;0.0704408
0.0085077;0.0666698
0.0084346;0.0669604
0.0088837;0.0695752
0.0083644;0.0663890
0.0082249;0.0659267
0.0081931;0.0664967
0.0081230;0.0659477
0.0081472;0.0659329
0.0080675;0.0658567
0.0079575;0.0656424
0.0084497;0.0685598
0.0079781;0.0654675
0.0080082;0.0658578
0.0079859;0.0663448
0.0082327;0.0673457
0.0078651;0.0660558
0.0076951;0.0653227
0.0078594;0.0654466
0.0077359;0.0651847
0.0076839;0.0644978
0.0083512;0.0681424
0.0081460;0.0678910
0.0076306;0.0651543
0.0074702;0.0642809
0.0073398;0.0633107
0.0073139;0.0632828
0.0073818;0.0641795
0.0073524;0.0638204
0.0074007;0.0639654
0.0074010;0.0644232
0.0073400;0.0636460
0.0074182;0.0644516
0.0072926;0.0637955
0.0073294;0.0637290
0.0074309;0.0647825
0.0072929;0.0632313
0.0071956;0.0634583
0.0073279;0.0636316
0.0078743;0.0681748
0.0072955;0.0637874
0.0071430;0.0636046
0.0071033;0.0625462
0.0072357;0.0634855
0.0072574;0.0639334
0.0075924;0.0655142
0.0068983;0.0620899
0.0070414;0.0626144
0.0068597;0.0617858
0.0069349;0.0622998
0.0068918;0.0621889
0.0069971;0.0625903
0.0068891;0.0621705
0.0074807;0.0642169
0.0069960;0.0625004
0.0067766;0.0616419
0.0066731;0.0611379
0.0067141;0.0611559
0.0071046;0.0633113
0.0076017;0.0659615
0.0073003;0.0646160
0.0074676;0.0654115
0.0073033;0.0634911
0.0070612;0.0627877
0.0069627;0.0632229
0.0068085;0.0621332
0.0066419;0.0613714
0.0065985;0.0606627
0.0066013;0.0613331
0.0064595;0.0605389
0.0065884;0.0608605
0.0067485;0.0624332
0.0068832;0.0620960
0.0066196;0.0612587
0.0065033;0.0603531
0.0065699;0.0612962
0.0069023;0.0620688
0.0065777;0.0608608
0.0065250;0.0607642
0.0065006;0.0605145
0.0066409;0.0618622
0.0063094;0.0594754
0.0062601;0.0592175
0.0062628;0.0589493
0.0063813;0.0605070
0.0062902;0.0597512
0.0062317;0.0592886
0.0064287;0.0601001
0.0063284;0.0596606
0.0062270;0.0592114
0.0060935;0.0587595
0.0062868;0.0594088
0.0064209;0.0607567
0.0061128;0.0586420
0.0060872;0.0586449
0.0060071;0.0583810
0.0060929;0.0586249
0.0063313;0.0600764
0.0062998;0.0602572
0.0060691;0.0585329
0.0060942;0.0587198
0.0060193;0.0585618
0.0061099;0.0595567
0.0062774;0.0597337
0.0061593;0.0590950
0.0060086;0.0589005
0.0059234;0.0578747
0.0057934;0.0574367
0.0058459;0.0574559
0.0058918;0.0579506
0.0062075;0.0597626
0.0058501;0.0579897
0.0058859;0.0585302
0.0058001;0.0574024
0.0057508;0.0570822
0.0057424;0.0574864
0.0060710;0.0588088
0.0059017;0.0579055
0.0057210;0.0571447
0.0057661;0.0569845
0.0057098;0.0573410
0.0058023;0.0573213
0.0056395;0.0568588
0.0056396;0.0568486
0.0057243;0.0566514
0.0060040;0.0595550
0.0058432;0.0580268
0.0057312;0.0574202
0.0055072;0.0562015
0.0058116;0.0583518
0.0056041;0.0567410
0.0057087;0.0575723
0.0054710;0.0560670
0.0054384;0.0559113
0.0054317;0.0557438
0.0054786;0.0560190
0.0053460;0.0553226
0.0053975;0.0557816
0.0052985;0.0553801
0.0056168;0.0570767
0.0054864;0.0564472
0.0056562;0.0579181
0.0053825;0.0560651
0.0053708;0.0556634
0.0056927;0.0572381
0.0055446;0.0563757
0.0058179;0.0583930
0.0061935;0.0609168
0.0054167;0.0562157
0.0051970;0.0543008
0.0052461;0.0550795
0.0050938;0.0539312
0.0054678;0.0558635
0.0053938;0.0560566
0.0054769;0.0566755
0.0052635;0.0549895
0.0053735;0.0557319
0.0053194;0.0555847
0.0055778;0.0572025
0.0052566;0.0553005
0.0052395;0.0551504
0.0050070;0.0534168
0.0050564;0.0542268
0.0054311;0.0564296
0.0052368;0.0553872
0.0050406;0.0542033
0.0049832;0.0535197
0.0050428;0.0540297
0.0050817;0.0537389
0.0049696;0.0539736
0.0052674;0.0554014
0.0053859;0.0563304
0.0051389;0.0546156
0.0050424;0.0542770
0.0049084;0.0531364
0.0049202;0.0535483
0.0051598;0.0549325
0.0051921;0.0554745
0.0048309;0.0527450
0.0049448;0.0535385
0.0049401;0.0538213
0.0048656;0.0531094
0.0047929;0.0526081
0.0048242;0.0530706
0.0047803;0.0527179
0.0050161;0.0541383
0.0048796;0.0533328
0.0048600;0.0529411
0.0052409;0.0551128
0.0052190;0.0552026
0.0051876;0.0545061
0.0048667;0.0531669
0.0048715;0.0533246
0.0047274;0.0527384
0.0046795;0.0520267
0.0046829;0.0521842
0.0047568;0.0528069
0.0045428;0.0511925
0.0045459;0.0513051
0.0046596;0.0523468
0.0047065;0.0523727
0.0045135;0.0511055
0.0044965;0.0509758
0.0046239;0.0520658
0.0047200;0.0523233
0.0048183;0.0534318
0.0045040;0.0510355
0.0047422;0.0527243
0.0047043;0.0527346
0.0044672;0.0506922
0.0044642;0.0510561
0.0044226;0.0505997
0.0044903;0.0509755
0.0046246;0.0522870
0.0045892;0.0520330
0.0048073;0.0530929
0.0048339;0.0534994
0.0047757;0.0532324
0.0047092;0.0525786
0.0046874;0.0522913
0.0044370;0.0506663
0.0044770;0.0513794
0.0043187;0.0502857
0.0042936;0.0499867
0.0044996;0.0514966
0.0044181;0.0508899
0.0045601;0.0519316
0.0047045;0.0531896
0.0044259;0.0514763
0.0044309;0.0510062
0.0042694;0.0498634
0.0042651;0.0497301
0.0042275;0.0495738
0.0042775;0.0497627
0.0043743;0.0507401
0.0043853;0.0506122
0.0042706;0.0496022
0.0042335;0.0499942
0.0045258;0.0519394
0.0046242;0.0526148
0.0042451;0.0497710
0.0041871;0.0497205
0.0042146;0.0499992
0.0041537;0.0493336
0.0041407;0.0490481
0.0041749;0.0497051
0.0040823;0.0492461
0.0040635;0.0485348
0.0041304;0.0487224
0.0041335;0.0498158
0.0040445;0.0483651
0.0042530;0.0500701
0.0047226;0.0533068
0.0044966;0.0519585
0.0040256;0.0483999
0.0039576;0.0481610
0.0042624;0.0506387
0.0042322;0.0499717
0.0040330;0.0484818
0.0039738;0.0485329
0.0044010;0.0513641
0.0043502;0.0514620
0.0044041;0.0514456
0.0041645;0.0496358
0.0038887;0.0477559
0.0039048;0.0479204
0.0038489;0.0474506
0.0038389;0.0477957
0.0038574;0.0474216
0.0038513;0.0471083
0.0038975;0.0477218
0.0039533;0.0485501
0.0039584;0.0488563
0.0037644;0.0470049
0.0039191;0.0481268
0.0039297;0.0483983
0.0038246;0.0475824
0.0040179;0.0489561
0.0037685;0.0468385
0.0036498;0.0461515
0.0037936;0.0477630
0.0037007;0.0466017
0.0039246;0.0478325
0.0041329;0.0493708
0.0038178;0.0475071
0.0038647;0.0481316
0.0036999;0.0468580
0.0037641;0.0469922
0.0035363;0.0457655
0.0036485;0.0467064
0.0036379;0.0462340
0.0040196;0.0492778
0.0040699;0.0494504
0.0037132;0.0469526
0.0035683;0.0460391
0.0036841;0.0463986
0.0037466;0.0473119
0.0037105;0.0472402
0.0035634;0.0462912
0.0037267;0.0469538
0.0036813;0.0469657
0.0039928;0.0496474
0.0036561;0.0470730
0.0035699;0.0460701
0.0035721;0.0460192
0.0035368;0.0456002
0.0034671;0.0452106
0.0036106;0.0462912
0.0037537;0.0473420
0.0035147;0.0455670
0.0035124;0.0458823
0.0035790;0.0465408
0.0038466;0.0478166
0.0041574;0.0505129
0.0037160;0.0471879
0.0033669;0.0446627
0.0032604;0.0438511
0.0032658;0.0441684
0.0032451;0.0442068
0.0035471;0.0461668
0.0034069;0.0452481
0.0033443;0.0447389
0.0032884;0.0444492
0.0034130;0.0451619
0.0034670;0.0453951
0.0034799;0.0454131
0.0036067;0.0464390
0.0032623;0.0438797
0.0033305;0.0448825
0.0032068;0.0436384
0.0034206;0.0456206
0.0032493;0.0440048
0.0032066;0.0436604
0.0034394;0.0456130
0.0031611;0.0435188
0.0032642;0.0445121
0.0032189;0.0440457
0.0033083;0.0449152
0.0032644;0.0446196
0.0035823;0.0467401
0.0034691;0.0458996
0.0032700;0.0446230
0.0032501;0.0443168
0.0030684;0.0431706
0.0031940;0.0437863
0.0032903;0.0447905
0.0032959;0.0448679
0.0033357;0.0450248
0.0031043;0.0433454
0.0031098;0.0432489
0.0030403;0.0429669
0.0031443;0.0433029
0.0031604;0.0437643
0.0030289;0.0423547
0.0032161;0.0444976
0.0032343;0.0444878
0.0029898;0.0425899
0.0032237;0.0437479
0.0030488;0.0426904
0.0030919;0.0430840
0.0033055;0.0444606
0.0033859;0.0450998
0.0031542;0.0436977
0.0029192;0.0417812
0.0029081;0.0413465
0.0029335;0.0420558
0.0030020;0.0427667
0.0028541;0.0415978
0.0029794;0.0423655
0.0029604;0.0424460
0.0028673;0.0416274
0.0028692;0.0416664
0.0028060;0.0409879
0.0029569;0.0422508
0.0029339;0.0423134
0.0028956;0.0418390
0.0027802;0.0409016
0.0027568;0.0408455
0.0027865;0.0406672
0.0029740;0.0425839
0.0032153;0.0435291
0.0032996;0.0451065
0.0032463;0.0446454
0.0032693;0.0447928
0.0031394;0.0435517
0.0030577;0.0430356
0.0031183;0.0431096
0.0028337;0.0411310
0.0029523;0.0424157
0.0027343;0.0408241
0.0026469;0.0399976
