# MSE;MAE
0.0181022;0.1026811
0.0091110;0.0737392
0.0077165;0.0668491
0.0074927;0.0656066
0.0074100;0.0651529
0.0074194;0.0651592
0.0073579;0.0647537
0.0071576;0.0636613
0.0071693;0.0636776
0.0071756;0.0636325
0.0071287;0.0632225
0.0069372;0.0623026
0.0068791;0.0617214
0.0067646;0.0609574
0.0065795;0.0596925
0.0065639;0.0594415
0.0065517;0.0593907
0.0063468;0.0582796
0.0063661;0.0583175
0.0063327;0.0580287
0.0063719;0.0585601
0.0063599;0.0582917
0.0062933;0.0579269
0.0061805;0.0572748
0.0062466;0.0577483
0.0061455;0.0573299
0.0062228;0.0578509
0.0060953;0.0569711
0.0061815;0.0572709
0.0060329;0.0565643
0.0060979;0.0569211
0.0060537;0.0565546
0.0059673;0.0563070
0.0060428;0.0565227
0.0059627;0.0562016
0.0059643;0.0562597
0.0059747;0.0562925
0.0059629;0.0560774
0.0059714;0.0563511
0.0058942;0.0557636
0.0058667;0.0555444
0.0059571;0.0562463
0.0059841;0.0562724
0.0058102;0.0555444
0.0057895;0.0552751
0.0059339;0.0559697
0.0058680;0.0556746
0.0057822;0.0551453
0.0058129;0.0553024
0.0057418;0.0550603
0.0058745;0.0556566
0.0058831;0.0556558
0.0057193;0.0549571
0.0057336;0.0548239
0.0057495;0.0550176
0.0058051;0.0554487
0.0057236;0.0547668
0.0057214;0.0548013
0.0056972;0.0548493
0.0057240;0.0548490
0.0057042;0.0547880
0.0057631;0.0550112
0.0057323;0.0550164
0.0056688;0.0544844
0.0056650;0.0546359
0.0056382;0.0544174
0.0056937;0.0548727
0.0056114;0.0541623
0.0056480;0.0544045
0.0056733;0.0545360
0.0055547;0.0539680
0.0057088;0.0549314
0.0055809;0.0541244
0.0055437;0.0539051
0.0056082;0.0544128
0.0055543;0.0540188
0.0056412;0.0544288
0.0055440;0.0538883
0.0055659;0.0542709
0.0055023;0.0537709
0.0055522;0.0538071
0.0055067;0.0536850
0.0055406;0.0539759
0.0055073;0.0537751
0.0055210;0.0537461
0.0054807;0.0537067
0.0054736;0.0535272
0.0054518;0.0533999
0.0054678;0.0535944
0.0054629;0.0535011
0.0054124;0.0533574
0.0054237;0.0534257
0.0055022;0.0537166
0.0054450;0.0536443
0.0054236;0.0534757
0.0054128;0.0536694
0.0054570;0.0536041
0.0053104;0.0528572
0.0052974;0.0527159
0.0053605;0.0529787
0.0053510;0.0530244
0.0054552;0.0537058
0.0053076;0.0528806
0.0053252;0.0529710
0.0053066;0.0529834
0.0053641;0.0531098
0.0053912;0.0532466
0.0052940;0.0526999
0.0053451;0.0530188
0.0053041;0.0529172
0.0052875;0.0527306
0.0052513;0.0525377
0.0052046;0.0522673
0.0052957;0.0529529
0.0052298;0.0524798
0.0052845;0.0525601
0.0052128;0.0523205
0.0052235;0.0523939
0.0052919;0.0526615
0.0052733;0.0526423
0.0051919;0.0522722
0.0051702;0.0522288
0.0051516;0.0520501
0.0052268;0.0525054
0.0051526;0.0520298
0.0050955;0.0518942
0.0051351;0.0518490
0.0051927;0.0523036
0.0051520;0.0521536
0.0051797;0.0521505
0.0050798;0.0518089
0.0050907;0.0517047
0.0051864;0.0522835
0.0051256;0.0518690
0.0050609;0.0515863
0.0050359;0.0515905
0.0050462;0.0517870
0.0051474;0.0518386
0.0050728;0.0518589
0.0050152;0.0513595
0.0050651;0.0514965
0.0050466;0.0516228
0.0050589;0.0516781
0.0049814;0.0512338
0.0050174;0.0513780
0.0049053;0.0508099
0.0050127;0.0514916
0.0049360;0.0510323
0.0049967;0.0511941
0.0049640;0.0510752
0.0049891;0.0511579
0.0049153;0.0509210
0.0050088;0.0512206
0.0048873;0.0507998
0.0048566;0.0505649
0.0049793;0.0514767
0.0048410;0.0506117
0.0048750;0.0509070
0.0048757;0.0506474
0.0048045;0.0505094
0.0049122;0.0510409
0.0048229;0.0503798
0.0048526;0.0506463
0.0047866;0.0504759
0.0048966;0.0509916
0.0048562;0.0505745
0.0047915;0.0502843
0.0048423;0.0506315
0.0048580;0.0506774
0.0047791;0.0502872
0.0047202;0.0501162
0.0047471;0.0500000
0.0047079;0.0501621
0.0047324;0.0500389
0.0047347;0.0503058
0.0047232;0.0499387
0.0047784;0.0504036
0.0047058;0.0503190
0.0048031;0.0505576
0.0047513;0.0504253
0.0046235;0.0497147
0.0047069;0.0500576
0.0046950;0.0499581
0.0046909;0.0499813
0.0046018;0.0497340
0.0045693;0.0493310
0.0046254;0.0498256
0.0046703;0.0498422
0.0045581;0.0492850
0.0046464;0.0497949
0.0045895;0.0493700
0.0045615;0.0492893
0.0046787;0.0501258
0.0045978;0.0495973
0.0046222;0.0496434
0.0045050;0.0491427
0.0044687;0.0488427
0.0044665;0.0489399
0.0045421;0.0493096
0.0045585;0.0494084
0.0044691;0.0487750
0.0044991;0.0489412
0.0044621;0.0489118
0.0044523;0.0489114
0.0044535;0.0488406
0.0043905;0.0485129
0.0044658;0.0491010
0.0045486;0.0491170
0.0043449;0.0482991
0.0044530;0.0488377
0.0044543;0.0489514
0.0044192;0.0487737
0.0042680;0.0478657
0.0044491;0.0488671
0.0044212;0.0487499
0.0043990;0.0487622
0.0043741;0.0486518
0.0042925;0.0482251
0.0043626;0.0484656
0.0044015;0.0486792
0.0042723;0.0481412
0.0042655;0.0481157
0.0042677;0.0481534
0.0042934;0.0481927
0.0044516;0.0491236
0.0042121;0.0479274
0.0042206;0.0478809
0.0041841;0.0476795
0.0042159;0.0479358
0.0041662;0.0474901
0.0042782;0.0483721
0.0042605;0.0479911
0.0042121;0.0478454
0.0041194;0.0472923
0.0041202;0.0473281
0.0041518;0.0474966
0.0040861;0.0471991
0.0042170;0.0479321
0.0040988;0.0472460
0.0040293;0.0469358
0.0040130;0.0467655
0.0040910;0.0474429
0.0042038;0.0477783
0.0041693;0.0477980
0.0040507;0.0471483
0.0041106;0.0473671
0.0039889;0.0467211
0.0039530;0.0465242
0.0039469;0.0465761
0.0039636;0.0468422
0.0039510;0.0465869
0.0040062;0.0470544
0.0039723;0.0466885
0.0039777;0.0467804
0.0039573;0.0465962
0.0039762;0.0465848
0.0040109;0.0467758
0.0039505;0.0465336
0.0039967;0.0468510
0.0038912;0.0461968
0.0038981;0.0462822
0.0038914;0.0464369
0.0039010;0.0462273
0.0038913;0.0462150
0.0038946;0.0463123
0.0037728;0.0456511
0.0037469;0.0453516
0.0038683;0.0460737
0.0038349;0.0459869
0.0038056;0.0459139
0.0038118;0.0459037
0.0037884;0.0455771
0.0038286;0.0457506
0.0037671;0.0455414
0.0037567;0.0456345
0.0037675;0.0453797
0.0037617;0.0457083
0.0037181;0.0452709
0.0037026;0.0452850
0.0037288;0.0455236
0.0036459;0.0451026
0.0036895;0.0451734
0.0036646;0.0450823
0.0037471;0.0454644
0.0036868;0.0451635
0.0037650;0.0455413
0.0038624;0.0459355
0.0036209;0.0448362
0.0036518;0.0451007
0.0036279;0.0448455
0.0036549;0.0451147
0.0035378;0.0443914
0.0035199;0.0441784
0.0036356;0.0448017
0.0035507;0.0444895
0.0035045;0.0442090
0.0036041;0.0447224
0.0036524;0.0450556
0.0036752;0.0451394
0.0036087;0.0448041
0.0035599;0.0445995
0.0036116;0.0449113
0.0036025;0.0449872
0.0034454;0.0440701
0.0034686;0.0441095
0.0035275;0.0442754
0.0034596;0.0438424
0.0034789;0.0441616
0.0035793;0.0446271
0.0034675;0.0440226
0.0034527;0.0439632
0.0034132;0.0437790
0.0034050;0.0437501
0.0034574;0.0441178
0.0035038;0.0440367
0.0034069;0.0437833
0.0033891;0.0436654
0.0034109;0.0437386
0.0034244;0.0438129
0.0034384;0.0439625
0.0033873;0.0434548
0.0036488;0.0448350
0.0033631;0.0434309
0.0033470;0.0433127
0.0034233;0.0438429
0.0033446;0.0432680
0.0035367;0.0444388
0.0033654;0.0435028
0.0034275;0.0439257
0.0033505;0.0434099
0.0033603;0.0435333
0.0033111;0.0430687
0.0032821;0.0430381
0.0033409;0.0432422
0.0033311;0.0431687
0.0032843;0.0429273
0.0032887;0.0429904
0.0034679;0.0440362
0.0033780;0.0436351
0.0033331;0.0433091
0.0032377;0.0427866
0.0032765;0.0429925
0.0032623;0.0428339
0.0034000;0.0437636
0.0031921;0.0423992
0.0032518;0.0428988
0.0031890;0.0425088
0.0031911;0.0423945
0.0032841;0.0430457
0.0032034;0.0425076
0.0032272;0.0427565
0.0031918;0.0424527
0.0032390;0.0427979
0.0031627;0.0423163
0.0031651;0.0423200
0.0034167;0.0438108
0.0032025;0.0427205
0.0031410;0.0422074
0.0030721;0.0417840
0.0031879;0.0424663
0.0031527;0.0423245
0.0031008;0.0418573
0.0030989;0.0419354
0.0033378;0.0431424
0.0030974;0.0420098
0.0030927;0.0419139
0.0031218;0.0420554
0.0032038;0.0425610
0.0031129;0.0422320
0.0031091;0.0420268
0.0031514;0.0422736
0.0032519;0.0429313
0.0031075;0.0419393
0.0030593;0.0418138
0.0030512;0.0416590
0.0030881;0.0417926
0.0031064;0.0420009
0.0033546;0.0432000
0.0031274;0.0420263
0.0030734;0.0419646
0.0031172;0.0419833
0.0030450;0.0415560
0.0030343;0.0415576
0.0029884;0.0412594
0.0030540;0.0416149
0.0030003;0.0412883
0.0029863;0.0412300
0.0030061;0.0414437
0.0029881;0.0412128
0.0030065;0.0414230
0.0030196;0.0415112
0.0031439;0.0421341
0.0030227;0.0414311
0.0030006;0.0413251
0.0029961;0.0412470
0.0029335;0.0408469
0.0029156;0.0407651
0.0029941;0.0410784
0.0029606;0.0411475
0.0030670;0.0416531
0.0030192;0.0413910
0.0029522;0.0411313
0.0028783;0.0404214
0.0029352;0.0408199
0.0029616;0.0410458
0.0030651;0.0415420
0.0030618;0.0416466
0.0029478;0.0409907
0.0029388;0.0409924
0.0029422;0.0408881
0.0029336;0.0408473
0.0029310;0.0407962
0.0029568;0.0411592
0.0029206;0.0408072
0.0029724;0.0411163
0.0030141;0.0412888
0.0029776;0.0409483
0.0028625;0.0403480
0.0029415;0.0408450
0.0028578;0.0404197
0.0028191;0.0401344
0.0029470;0.0409891
0.0029215;0.0409045
0.0029047;0.0407885
0.0030433;0.0416857
0.0028644;0.0402716
0.0028564;0.0403123
0.0028529;0.0404147
0.0028991;0.0406398
0.0029082;0.0407414
0.0028150;0.0401521
0.0028505;0.0402655
0.0029089;0.0406567
0.0029547;0.0409776
0.0028681;0.0404150
0.0028699;0.0405158
0.0028538;0.0402503
0.0028375;0.0402299
0.0028831;0.0403759
0.0029121;0.0408220
0.0028436;0.0403949
0.0028091;0.0399114
0.0027620;0.0398273
0.0027788;0.0399069
0.0027355;0.0396600
0.0028230;0.0401725
0.0027332;0.0395656
0.0028593;0.0403423
0.0028291;0.0401281
0.0028253;0.0401864
0.0027476;0.0396433
0.0026845;0.0390180
0.0028615;0.0403840
0.0028676;0.0404367
0.0027634;0.0397660
0.0027682;0.0397282
0.0027969;0.0399163
0.0027448;0.0395643
0.0027677;0.0399431
0.0027832;0.0398251
0.0027353;0.0395262
0.0028647;0.0404100
0.0027408;0.0394395
0.0027708;0.0396565
0.0027909;0.0399202
0.0026598;0.0389863
0.0026638;0.0391079
0.0027679;0.0398032
0.0026594;0.0390047
0.0027023;0.0394131
0.0027285;0.0394123
0.0026769;0.0391330
0.0026672;0.0389904
0.0028450;0.0402743
0.0026912;0.0391273
0.0027101;0.0393680
0.0026057;0.0386481
0.0027767;0.0398333
0.0027852;0.0398205
0.0026773;0.0391973
0.0027372;0.0397007
0.0027029;0.0391341
0.0026124;0.0385889
0.0026462;0.0387793
0.0026314;0.0387998
0.0026091;0.0385824
0.0026807;0.0393188
0.0026478;0.0389801
0.0026911;0.0391856
0.0027656;0.0396297
0.0026401;0.0388363
0.0026515;0.0389453
0.0025847;0.0385044
0.0026722;0.0392286
0.0026333;0.0387796
0.0029300;0.0403539
0.0025916;0.0386242
0.0026522;0.0389183
0.0025789;0.0383278
0.0026539;0.0390006
0.0025751;0.0385196
0.0027675;0.0395901
0.0025845;0.0384709
0.0025047;0.0381009
0.0026464;0.0390473
0.0025228;0.0381590
0.0026998;0.0393047
0.0026282;0.0387041
0.0026681;0.0391544
0.0026018;0.0386428
0.0025454;0.0383004
0.0025340;0.0381366
0.0025232;0.0379640
0.0025005;0.0378544
0.0025738;0.0384227
0.0027081;0.0394279
0.0025360;0.0380698
0.0025629;0.0383593
0.0026357;0.0388960
0.0026011;0.0387194
0.0026580;0.0391590
0.0025702;0.0384157
0.0025497;0.0381548
0.0025502;0.0384517
0.0025375;0.0380161
0.0027354;0.0396418
0.0024989;0.0378632
0.0025459;0.0382996
0.0025488;0.0382053
0.0025066;0.0380198
0.0025296;0.0380988
0.0025352;0.0380750
0.0026430;0.0388960
0.0024480;0.0375870
0.0025342;0.0382421
0.0025254;0.0380414
0.0026464;0.0390781
0.0025539;0.0381875
0.0024862;0.0378526
0.0025467;0.0382093
0.0025979;0.0387022
0.0026110;0.0387597
0.0026289;0.0388404
0.0024450;0.0375842
0.0025690;0.0383513
0.0024669;0.0378491
0.0024901;0.0380227
0.0024716;0.0377527
0.0025037;0.0379376
0.0024911;0.0379643
0.0024763;0.0377918
0.0024308;0.0372550
0.0024414;0.0374856
0.0024249;0.0374280
0.0025113;0.0379338
0.0029074;0.0402924
0.0023534;0.0368692
0.0024323;0.0372405
0.0024947;0.0379785
0.0025287;0.0380457
0.0024741;0.0377513
0.0025268;0.0380459
0.0024093;0.0373169
0.0025365;0.0382710
0.0023698;0.0369833
0.0023868;0.0370652
0.0024651;0.0376254
0.0023724;0.0368545
0.0024927;0.0379005
0.0023936;0.0370514
0.0023963;0.0372228
0.0024445;0.0374554
0.0024849;0.0379758
0.0024211;0.0373285
0.0024136;0.0373104
0.0023755;0.0369260
0.0024703;0.0375905
0.0024672;0.0377964
0.0023832;0.0370594
0.0023518;0.0368470
0.0023880;0.0371832
0.0023855;0.0371188
0.0023936;0.0373140
0.0024259;0.0375639
0.0023974;0.0371678
0.0023945;0.0370985
0.0023893;0.0372014
0.0024692;0.0377314
0.0025196;0.0382081
0.0022993;0.0364107
0.0023613;0.0368549
0.0023808;0.0370491
0.0024359;0.0374278
0.0024218;0.0374599
0.0023404;0.0368002
0.0024215;0.0373623
0.0023266;0.0366372
0.0023984;0.0371746
0.0023902;0.0369784
0.0026737;0.0390983
0.0024275;0.0375017
0.0023264;0.0368099
0.0024176;0.0374502
0.0023085;0.0365672
0.0024388;0.0373305
0.0024922;0.0377947
0.0023286;0.0367026
0.0023713;0.0371183
0.0024369;0.0373976
0.0022700;0.0362190
0.0023353;0.0367365
0.0024599;0.0375801
0.0024044;0.0373404
0.0024090;0.0372359
0.0023471;0.0367258
0.0023516;0.0369012
0.0023687;0.0369794
0.0024915;0.0379885
0.0023796;0.0369872
0.0023038;0.0364740
0.0022277;0.0359672
0.0023102;0.0365616
0.0022957;0.0366175
0.0022608;0.0360690
0.0023830;0.0369641
0.0023282;0.0367592
0.0022901;0.0363299
0.0023015;0.0365732
0.0023686;0.0369544
0.0023410;0.0368017
0.0024630;0.0376640
0.0023356;0.0367759
0.0023376;0.0367840
0.0022681;0.0364041
0.0023695;0.0369508
0.0022857;0.0365199
0.0022562;0.0362351
0.0022680;0.0362100
0.0023569;0.0370105
0.0024023;0.0372578
0.0024488;0.0374086
0.0022784;0.0364328
0.0022329;0.0360221
0.0022890;0.0364680
0.0023155;0.0365673
0.0022983;0.0365037
0.0022182;0.0358494
0.0022578;0.0361845
0.0022444;0.0361123
0.0022336;0.0359351
0.0022250;0.0359898
0.0022557;0.0361754
0.0021831;0.0355327
0.0023750;0.0369724
0.0023189;0.0366179
0.0023298;0.0367187
0.0022513;0.0361917
0.0023361;0.0366841
0.0022347;0.0361633
0.0023007;0.0365374
0.0022726;0.0363157
0.0021971;0.0356222
0.0022830;0.0363058
0.0023098;0.0366435
0.0022204;0.0358809
0.0023372;0.0368853
0.0022197;0.0359865
0.0023262;0.0366622
0.0021835;0.0356273
0.0023001;0.0364595
0.0022468;0.0360777
0.0021809;0.0355308
0.0022300;0.0358887
0.0021615;0.0354829
0.0021746;0.0356888
0.0022877;0.0363133
0.0022258;0.0358270
0.0022914;0.0363896
0.0022186;0.0359213
0.0021833;0.0355866
0.0022890;0.0364017
0.0022898;0.0364932
0.0022454;0.0359813
0.0022136;0.0359439
0.0022666;0.0362746
0.0021901;0.0357965
0.0022080;0.0356720
0.0021452;0.0355413
0.0021652;0.0355312
0.0022339;0.0359500
0.0021942;0.0356787
0.0022394;0.0359591
0.0022482;0.0361234
0.0021960;0.0358310
0.0021367;0.0352273
0.0021787;0.0355751
0.0022277;0.0359671
0.0022280;0.0359463
0.0022530;0.0362361
0.0022735;0.0362403
0.0021795;0.0356537
0.0022035;0.0357627
0.0021732;0.0354782
0.0021430;0.0354764
0.0021654;0.0355569
0.0021449;0.0353669
0.0021156;0.0350685
0.0022136;0.0359450
0.0021682;0.0356034
0.0022180;0.0359117
0.0021520;0.0353460
0.0020911;0.0348722
0.0021835;0.0358999
0.0022280;0.0360316
0.0022131;0.0358636
0.0022157;0.0358058
0.0022028;0.0357311
0.0021490;0.0355244
0.0021205;0.0351002
0.0022270;0.0360449
0.0021091;0.0351238
0.0021096;0.0350719
0.0022221;0.0360714
0.0020875;0.0349372
0.0021078;0.0349306
0.0023048;0.0365229
0.0021386;0.0352198
0.0021276;0.0353654
0.0020480;0.0346604
0.0021958;0.0358300
0.0022675;0.0362164
0.0021186;0.0351992
0.0021033;0.0350812
0.0021323;0.0353014
0.0021061;0.0350883
0.0021802;0.0356897
0.0021583;0.0356152
0.0021466;0.0353768
0.0021672;0.0356336
0.0021916;0.0356767
0.0020902;0.0351543
0.0020599;0.0346373
0.0021578;0.0354946
0.0020602;0.0347573
0.0020778;0.0350232
0.0021464;0.0354278
0.0022826;0.0363646
0.0022486;0.0361663
0.0021049;0.0350421
0.0021920;0.0355978
0.0021563;0.0355939
0.0021538;0.0354219
0.0021479;0.0353992
0.0022046;0.0357499
0.0020648;0.0348600
0.0020763;0.0348350
0.0020711;0.0349095
0.0020227;0.0345375
0.0020104;0.0343911
0.0021129;0.0351100
0.0019898;0.0342401
0.0021192;0.0351355
0.0023080;0.0363901
0.0020538;0.0346895
0.0021500;0.0354002
0.0020895;0.0350177
0.0020960;0.0349672
0.0022441;0.0360977
0.0022071;0.0358637
0.0021366;0.0353583
0.0020148;0.0343822
0.0020445;0.0346699
0.0020477;0.0346126
0.0020478;0.0346190
0.0021465;0.0353076
0.0021151;0.0350337
0.0020271;0.0345531
0.0020781;0.0348721
0.0019814;0.0340623
0.0021542;0.0355173
0.0020836;0.0350212
0.0021441;0.0354011
0.0020979;0.0350260
0.0019773;0.0341255
0.0020639;0.0347796
0.0020337;0.0344498
0.0021271;0.0351149
0.0020787;0.0350202
0.0021667;0.0355954
0.0020437;0.0345021
0.0020066;0.0342831
0.0020171;0.0344487
0.0020106;0.0342750
0.0020870;0.0350316
0.0020681;0.0349396
0.0021837;0.0356578
0.0021249;0.0352479
0.0019989;0.0341773
0.0019794;0.0340560
0.0021222;0.0352251
0.0021644;0.0356501
0.0019905;0.0342005
0.0020095;0.0345052
0.0020123;0.0343731
0.0020511;0.0346525
0.0021613;0.0355961
0.0019675;0.0341249
0.0019148;0.0336236
0.0019744;0.0342606
0.0020920;0.0351159
0.0020533;0.0346776
0.0019733;0.0340223
0.0020252;0.0345341
0.0020095;0.0343980
0.0020224;0.0346021
0.0020316;0.0346213
0.0019925;0.0343892
0.0019986;0.0344061
0.0019868;0.0343368
0.0019091;0.0335612
0.0020247;0.0345359
0.0019558;0.0339677
0.0022939;0.0364389
0.0021451;0.0355754
0.0020223;0.0346046
0.0020588;0.0346671
0.0019427;0.0338417
0.0019170;0.0336553
