# MSE;MAE
0.0170486;0.0990287
0.0077434;0.0674482
0.0071606;0.0645322
0.0069683;0.0634767
0.0069922;0.0633735
0.0068738;0.0628081
0.0067846;0.0621632
0.0066546;0.0615363
0.0067239;0.0617601
0.0064399;0.0602930
0.0063159;0.0590777
0.0062107;0.0581456
0.0060539;0.0572393
0.0059666;0.0566778
0.0058805;0.0559270
0.0058176;0.0557195
0.0057999;0.0553359
0.0058107;0.0556012
0.0056257;0.0545341
0.0057317;0.0549882
0.0056271;0.0545822
0.0056009;0.0546123
0.0056164;0.0545597
0.0055376;0.0541845
0.0054466;0.0537134
0.0054914;0.0539605
0.0054567;0.0538914
0.0053742;0.0534635
0.0053767;0.0533292
0.0054210;0.0535933
0.0053611;0.0532624
0.0053921;0.0535146
0.0052978;0.0529119
0.0053621;0.0532152
0.0053311;0.0532503
0.0052388;0.0525193
0.0053793;0.0532839
0.0051909;0.0521456
0.0052369;0.0525022
0.0053172;0.0531204
0.0052266;0.0525538
0.0052325;0.0524672
0.0051823;0.0523827
0.0052976;0.0531963
0.0052519;0.0528550
0.0051491;0.0520115
0.0051845;0.0522464
0.0052411;0.0527532
0.0052556;0.0525476
0.0052588;0.0530276
0.0051314;0.0519997
0.0051502;0.0521740
0.0050629;0.0515503
0.0050896;0.0516842
0.0051043;0.0518880
0.0050851;0.0517951
0.0051634;0.0521836
0.0050025;0.0513234
0.0050798;0.0517883
0.0050954;0.0520133
0.0050327;0.0516897
0.0050414;0.0513074
0.0049777;0.0512439
0.0049843;0.0510635
0.0050008;0.0513930
0.0049560;0.0511706
0.0050025;0.0513957
0.0049351;0.0511763
0.0050864;0.0519355
0.0049074;0.0510293
0.0049585;0.0511287
0.0049561;0.0511219
0.0048421;0.0505416
0.0049090;0.0509069
0.0048927;0.0508836
0.0048448;0.0504835
0.0048340;0.0504539
0.0048995;0.0509927
0.0048913;0.0507491
0.0048053;0.0502342
0.0048999;0.0509253
0.0048863;0.0505705
0.0048846;0.0507834
0.0048125;0.0503719
0.0048538;0.0506179
0.0048105;0.0504529
0.0048123;0.0505463
0.0047753;0.0502568
0.0047970;0.0502573
0.0047778;0.0503032
0.0047371;0.0499027
0.0047560;0.0503294
0.0047865;0.0502576
0.0047070;0.0498390
0.0047424;0.0500123
0.0047289;0.0502817
0.0047015;0.0499251
0.0047665;0.0501486
0.0047331;0.0501520
0.0046606;0.0497634
0.0046589;0.0496076
0.0046815;0.0497764
0.0047025;0.0500482
0.0047419;0.0499901
0.0046714;0.0499993
0.0046922;0.0498593
0.0047261;0.0503342
0.0046761;0.0499150
