# MSE;MAE
0.0100461;0.0752499
0.0070477;0.0632036
0.0064895;0.0596893
0.0060915;0.0569705
0.0059500;0.0560362
0.0058578;0.0555407
0.0058197;0.0554229
0.0057641;0.0550374
0.0057114;0.0547965
0.0056341;0.0544572
0.0056614;0.0546592
0.0055641;0.0540049
0.0055272;0.0538137
0.0055292;0.0537246
0.0055207;0.0538636
0.0054655;0.0535011
0.0054551;0.0535063
0.0054163;0.0532438
0.0054248;0.0533173
0.0053877;0.0531368
0.0053860;0.0531865
0.0053598;0.0529654
0.0053434;0.0528588
0.0053108;0.0526810
0.0053287;0.0528177
0.0052966;0.0526586
0.0052925;0.0526972
0.0052763;0.0525820
0.0052524;0.0524313
0.0052460;0.0524468
0.0052255;0.0523130
0.0052044;0.0520963
0.0052271;0.0523071
0.0052234;0.0522350
0.0052242;0.0523041
0.0051655;0.0519356
0.0051739;0.0520652
0.0051300;0.0518152
0.0051635;0.0519236
0.0051567;0.0519319
0.0051310;0.0518250
0.0051178;0.0517261
0.0051255;0.0518346
0.0050852;0.0516363
0.0050805;0.0515930
0.0050925;0.0516650
0.0050523;0.0514652
0.0050732;0.0515356
0.0050502;0.0513373
0.0050359;0.0513400
0.0050288;0.0513178
0.0050076;0.0511964
0.0050377;0.0514276
0.0049861;0.0511745
0.0049849;0.0511843
0.0049831;0.0511594
0.0049674;0.0510431
0.0049589;0.0510725
0.0049443;0.0509498
0.0049164;0.0508068
0.0049286;0.0509378
0.0049040;0.0508133
0.0048827;0.0506521
0.0048841;0.0507509
0.0048651;0.0506488
0.0048391;0.0505779
0.0048583;0.0507702
0.0048103;0.0504105
0.0048206;0.0505217
0.0047542;0.0502128
0.0047524;0.0502366
0.0047427;0.0502353
0.0046944;0.0500806
0.0047088;0.0502359
0.0047269;0.0502411
0.0046208;0.0497912
0.0046627;0.0500062
0.0046403;0.0498360
0.0046252;0.0498700
0.0046279;0.0499241
0.0045788;0.0495887
0.0045481;0.0495174
0.0045904;0.0497992
0.0045631;0.0497014
0.0045215;0.0494412
0.0045452;0.0495691
0.0045621;0.0496399
0.0044742;0.0492426
0.0045180;0.0493788
0.0045205;0.0494400
0.0044774;0.0492789
0.0044815;0.0493847
0.0044657;0.0491836
0.0044438;0.0490788
0.0044224;0.0490239
0.0045119;0.0493679
0.0044174;0.0490082
0.0044350;0.0490913
0.0044587;0.0491658
0.0043672;0.0487203
0.0044367;0.0490949
0.0043515;0.0486974
0.0043513;0.0487300
0.0043282;0.0486096
0.0044028;0.0489421
0.0043545;0.0486173
0.0044049;0.0489822
0.0043223;0.0485471
0.0043235;0.0485266
0.0043272;0.0484862
0.0043115;0.0484531
0.0043099;0.0485067
0.0042806;0.0483013
0.0042718;0.0483012
0.0042899;0.0483569
0.0042650;0.0482586
0.0042670;0.0482536
0.0042214;0.0480382
0.0043342;0.0485568
0.0043103;0.0483911
0.0041624;0.0478066
0.0042082;0.0479628
0.0042039;0.0479870
0.0042892;0.0483628
0.0041576;0.0477310
0.0041930;0.0479214
0.0042814;0.0482373
0.0041922;0.0479423
0.0042921;0.0483253
0.0041476;0.0477096
0.0042419;0.0481233
0.0041790;0.0477875
0.0041581;0.0477412
0.0041806;0.0477481
0.0041316;0.0476084
0.0042363;0.0481132
0.0041327;0.0476536
0.0041158;0.0475443
0.0041312;0.0476654
0.0041792;0.0478335
0.0040716;0.0472425
0.0041326;0.0476747
0.0041069;0.0475270
0.0040939;0.0473881
0.0041327;0.0475111
0.0040813;0.0473808
0.0041630;0.0476734
0.0041319;0.0475522
0.0040782;0.0473197
0.0040635;0.0472464
0.0040202;0.0471136
0.0040797;0.0474049
0.0040465;0.0472424
0.0040764;0.0473597
0.0040691;0.0471971
0.0039713;0.0469192
0.0040352;0.0472054
0.0040708;0.0473011
0.0040744;0.0472569
0.0039998;0.0470397
0.0040803;0.0473525
0.0039605;0.0467951
0.0040129;0.0470417
0.0039618;0.0467496
0.0040150;0.0470692
0.0040024;0.0470020
0.0039868;0.0469064
0.0040744;0.0474038
0.0039852;0.0468248
0.0039702;0.0468310
0.0039613;0.0467805
0.0039667;0.0468129
0.0039744;0.0467924
0.0039788;0.0468843
0.0039075;0.0465866
0.0039814;0.0468577
0.0039425;0.0465871
0.0039202;0.0465488
0.0039369;0.0466235
0.0038814;0.0463858
0.0039539;0.0467389
0.0038881;0.0463974
0.0039184;0.0465677
0.0039150;0.0465756
0.0038634;0.0462848
0.0039011;0.0465320
0.0038739;0.0463327
0.0039074;0.0464899
0.0038783;0.0463870
0.0038581;0.0462171
0.0038518;0.0462048
0.0039311;0.0465904
0.0039179;0.0465788
0.0038389;0.0462151
0.0038153;0.0461255
0.0038545;0.0462140
0.0038623;0.0462912
0.0039092;0.0465661
0.0038674;0.0462267
0.0039175;0.0464007
0.0038090;0.0460928
0.0038605;0.0463194
0.0038054;0.0460063
0.0038096;0.0460283
0.0038970;0.0464340
0.0038072;0.0459576
0.0038299;0.0461900
0.0037809;0.0458828
0.0038043;0.0459878
0.0038281;0.0461718
0.0037970;0.0459252
0.0037893;0.0459646
0.0038115;0.0460766
0.0038364;0.0461124
0.0037684;0.0458166
0.0038166;0.0460313
0.0037997;0.0458962
0.0037551;0.0457654
0.0037865;0.0459300
0.0037698;0.0458551
0.0037770;0.0459377
0.0037798;0.0458724
0.0037829;0.0459016
0.0037669;0.0458120
0.0037326;0.0456672
0.0037332;0.0456544
0.0037513;0.0458345
0.0037284;0.0456187
0.0037683;0.0457999
0.0037322;0.0455786
0.0036892;0.0454070
0.0037161;0.0456454
0.0037368;0.0456121
0.0037166;0.0455142
0.0037298;0.0456148
0.0037005;0.0454719
0.0036820;0.0453270
0.0038244;0.0460193
0.0036869;0.0453448
0.0037009;0.0454725
0.0037407;0.0456374
0.0036812;0.0453395
0.0036987;0.0454053
0.0036690;0.0452802
0.0036922;0.0453945
0.0036730;0.0452515
0.0036738;0.0452309
0.0037275;0.0455347
0.0036835;0.0453355
0.0036894;0.0454970
0.0036671;0.0453049
0.0036769;0.0453834
0.0036742;0.0453429
0.0036625;0.0451698
0.0036165;0.0449897
0.0036610;0.0452287
0.0036601;0.0451820
0.0036570;0.0451536
0.0036675;0.0452818
0.0036630;0.0452691
0.0036710;0.0452363
0.0036318;0.0451153
0.0036051;0.0449064
0.0036448;0.0452131
0.0036717;0.0453571
0.0036539;0.0451621
0.0035916;0.0449001
0.0036427;0.0451521
0.0035958;0.0449281
0.0036314;0.0450635
0.0035874;0.0448461
0.0036079;0.0449543
0.0036344;0.0450904
0.0036142;0.0450087
0.0035864;0.0448655
0.0035838;0.0448726
0.0036389;0.0450845
0.0035709;0.0447958
0.0035795;0.0448336
0.0035990;0.0449403
0.0036094;0.0449949
0.0035376;0.0445810
0.0035900;0.0448477
0.0036026;0.0449205
0.0036095;0.0449215
0.0035901;0.0448917
0.0035652;0.0447287
0.0035682;0.0447729
0.0035927;0.0448254
0.0035687;0.0447041
0.0036187;0.0450112
0.0035856;0.0448163
0.0035445;0.0446445
0.0036099;0.0449694
0.0035134;0.0444252
0.0035463;0.0446527
0.0035793;0.0448164
0.0036029;0.0448967
0.0035394;0.0445846
0.0035599;0.0446771
0.0035420;0.0446194
0.0035650;0.0446935
0.0035730;0.0447632
0.0035286;0.0445463
0.0035436;0.0446446
0.0034814;0.0443634
0.0035355;0.0446538
0.0035286;0.0445218
0.0035279;0.0445123
0.0035608;0.0446730
0.0035114;0.0443862
0.0034937;0.0443845
0.0035151;0.0444665
0.0035643;0.0446668
0.0034895;0.0443248
0.0035241;0.0445311
0.0035405;0.0445582
0.0035080;0.0444742
0.0035187;0.0445164
0.0035546;0.0447371
0.0035368;0.0445749
0.0035267;0.0445205
0.0034987;0.0443441
0.0034863;0.0443246
0.0035354;0.0445850
0.0035294;0.0445394
0.0035022;0.0444164
0.0034669;0.0442174
0.0034625;0.0441422
0.0035039;0.0443920
0.0035133;0.0444457
0.0035604;0.0447359
0.0035041;0.0444175
0.0034673;0.0442169
0.0034840;0.0443020
0.0034852;0.0443228
0.0034464;0.0440385
0.0034556;0.0441768
0.0034525;0.0440933
0.0034646;0.0441601
0.0034759;0.0442262
0.0034947;0.0443551
0.0034748;0.0442559
0.0034376;0.0440414
0.0034693;0.0442175
0.0034802;0.0442894
0.0034496;0.0441230
0.0034590;0.0441736
0.0034607;0.0441782
0.0034390;0.0440514
0.0035086;0.0443691
0.0034121;0.0438926
0.0034335;0.0439203
0.0034633;0.0441449
0.0034595;0.0441534
0.0034434;0.0440728
0.0034454;0.0440982
0.0034209;0.0439076
0.0034533;0.0440802
0.0034133;0.0438619
0.0034393;0.0440729
0.0034379;0.0440302
0.0034032;0.0438200
0.0034693;0.0441853
0.0034087;0.0438090
0.0034116;0.0439133
0.0034470;0.0441128
0.0034216;0.0438984
0.0034250;0.0439441
0.0034329;0.0440412
0.0033981;0.0437903
0.0033858;0.0438060
0.0034074;0.0439659
0.0034062;0.0438806
0.0034072;0.0438365
0.0034181;0.0439055
0.0034260;0.0439350
0.0034292;0.0439797
0.0033989;0.0438468
0.0033911;0.0437508
0.0034265;0.0439362
0.0033848;0.0437656
0.0034210;0.0439760
0.0033907;0.0438025
0.0033938;0.0438571
0.0033941;0.0437601
0.0033872;0.0437258
0.0033839;0.0437942
0.0033967;0.0438192
0.0033561;0.0436069
0.0033915;0.0438340
0.0033985;0.0438077
0.0034287;0.0439966
0.0033636;0.0436224
0.0033741;0.0436969
0.0034275;0.0439049
0.0034197;0.0439658
0.0033824;0.0437652
0.0033545;0.0436400
0.0033778;0.0437668
0.0033641;0.0436685
0.0033593;0.0436541
0.0033872;0.0437244
0.0033629;0.0436044
0.0033543;0.0436058
0.0033568;0.0435224
0.0033838;0.0436825
0.0033433;0.0434021
0.0033229;0.0434564
0.0033555;0.0435576
0.0034049;0.0438720
0.0033623;0.0436427
0.0033499;0.0435932
0.0033239;0.0434083
0.0033490;0.0435322
0.0033769;0.0436238
0.0033511;0.0436296
0.0033656;0.0436516
0.0033652;0.0435892
0.0033611;0.0436097
0.0033269;0.0434292
0.0033679;0.0437218
0.0033559;0.0436201
0.0034013;0.0438195
0.0033766;0.0436925
0.0033367;0.0434934
0.0033153;0.0433774
0.0033324;0.0434680
0.0033580;0.0435993
0.0033236;0.0433828
0.0033351;0.0434505
0.0033396;0.0435682
0.0033636;0.0436241
0.0032914;0.0432178
0.0033125;0.0433610
0.0033563;0.0435808
0.0033473;0.0435513
0.0032970;0.0432606
0.0033321;0.0435076
0.0033303;0.0434466
0.0033022;0.0432777
0.0033208;0.0434417
0.0033443;0.0435642
0.0033455;0.0434858
0.0033153;0.0434066
0.0033122;0.0433943
0.0033292;0.0433371
0.0032722;0.0431314
0.0033172;0.0433583
0.0033069;0.0433822
0.0033149;0.0434066
0.0033051;0.0433112
0.0033240;0.0434364
0.0033399;0.0434984
0.0032987;0.0432542
0.0033162;0.0433484
0.0033098;0.0433171
0.0033158;0.0433801
0.0032955;0.0433099
0.0032789;0.0431365
0.0032739;0.0431003
0.0032659;0.0431007
0.0033038;0.0432587
0.0033009;0.0432666
0.0033187;0.0433563
0.0033191;0.0433521
0.0032929;0.0432070
0.0032672;0.0430480
0.0033067;0.0432691
0.0032740;0.0431521
0.0032786;0.0431728
0.0033071;0.0433311
0.0032975;0.0432639
0.0032761;0.0431705
0.0032723;0.0431415
0.0033184;0.0434064
0.0032747;0.0431531
0.0032776;0.0430883
0.0033113;0.0432745
0.0032809;0.0431349
0.0033595;0.0436038
0.0032447;0.0429594
0.0032722;0.0430976
0.0032603;0.0431275
0.0032564;0.0430613
0.0032512;0.0429219
0.0032667;0.0430882
0.0032704;0.0431457
0.0032575;0.0430247
0.0032611;0.0431841
0.0032512;0.0429745
0.0032642;0.0430666
0.0032501;0.0429985
0.0032301;0.0428752
0.0032997;0.0432886
0.0032967;0.0432532
0.0032313;0.0428599
0.0032707;0.0431264
0.0032590;0.0429979
0.0032400;0.0429053
0.0032665;0.0431388
0.0032753;0.0430952
0.0032428;0.0430598
0.0032504;0.0430027
0.0032766;0.0431858
0.0032717;0.0430852
0.0032568;0.0430080
0.0032342;0.0429598
0.0032716;0.0430761
0.0032388;0.0429800
0.0032675;0.0430967
0.0032504;0.0430015
0.0032693;0.0430661
0.0032571;0.0430553
0.0032298;0.0429215
0.0032030;0.0426304
0.0032220;0.0428357
0.0032551;0.0429919
0.0032654;0.0430571
0.0032268;0.0428372
0.0032600;0.0430275
0.0032388;0.0429507
0.0032433;0.0429571
0.0032210;0.0428303
0.0032433;0.0429708
0.0032295;0.0428889
0.0032365;0.0428769
0.0032825;0.0431709
0.0032420;0.0429985
0.0032198;0.0428212
0.0032527;0.0430184
0.0032099;0.0427780
0.0032456;0.0429497
0.0032191;0.0428322
0.0032092;0.0427705
0.0032596;0.0431016
0.0032270;0.0428760
0.0032283;0.0428614
0.0032316;0.0428819
0.0032299;0.0428091
0.0032466;0.0429265
0.0032070;0.0427596
0.0032229;0.0428704
0.0032057;0.0427968
0.0032265;0.0428940
0.0032154;0.0428324
0.0032902;0.0432310
0.0031861;0.0426709
0.0031928;0.0426711
0.0032212;0.0428170
0.0031974;0.0427092
0.0032273;0.0428448
0.0032008;0.0427572
0.0032113;0.0427587
0.0032191;0.0428791
0.0032211;0.0428445
0.0032347;0.0429208
0.0031840;0.0426713
0.0032138;0.0428275
0.0032345;0.0429094
0.0032268;0.0428531
0.0031823;0.0426832
0.0031972;0.0426674
0.0031823;0.0426149
0.0031761;0.0425587
0.0031974;0.0427704
0.0032030;0.0427181
0.0031915;0.0427383
0.0031920;0.0426935
0.0032042;0.0427270
0.0031634;0.0424411
0.0031742;0.0425839
0.0031930;0.0426618
0.0032061;0.0427425
0.0031977;0.0427109
0.0031681;0.0425749
0.0032042;0.0427665
0.0032130;0.0427722
0.0031577;0.0424692
0.0031898;0.0426645
0.0031811;0.0425648
0.0031765;0.0425324
0.0031769;0.0425382
0.0031811;0.0425252
