# mean; median; std; sam; rmse; rmse; ergas; uqi
1.34144;1.00000;1.95810;0.05837;2.37353;0.00931;0.12119;0.99429
1.20039;1.00000;1.67396;0.04032;2.05987;0.00808;0.12119;0.99547
1.00130;1.00000;1.42787;0.03102;1.74396;0.00684;0.12119;0.99636
0.79622;1.00000;1.17708;0.02494;1.42108;0.00557;0.12119;0.99577
0.83339;1.00000;1.03313;0.02215;1.32737;0.00521;0.12119;0.99524
0.88524;1.00000;1.03523;0.02153;1.36211;0.00534;0.12119;0.99438
0.98813;1.00000;1.12032;0.02443;1.49383;0.00586;0.12119;0.99310
0.88548;1.00000;1.11547;0.02445;1.42420;0.00559;0.12119;0.98981
0.93984;1.00000;1.12958;0.02536;1.46944;0.00576;0.12119;0.98679
0.96680;1.00000;1.09972;0.02652;1.46427;0.00574;0.12119;0.98118
0.92858;1.00000;1.17268;0.02513;1.49581;0.00587;0.12119;0.98525
0.93968;1.00000;1.29784;0.02606;1.60231;0.00628;0.12119;0.97665
0.99274;1.00000;1.30162;0.02599;1.63699;0.00642;0.12119;0.96672
0.95729;1.00000;1.22599;0.02364;1.55546;0.00610;0.12119;0.97007
0.87688;1.00000;1.11535;0.02173;1.41878;0.00556;0.12119;0.96417
1.04910;1.00000;1.17349;0.02383;1.57407;0.00617;0.12119;0.94596
1.04715;1.00000;1.28334;0.02755;1.65635;0.00650;0.12119;0.95405
1.00832;1.00000;1.37339;0.03147;1.70379;0.00668;0.12119;0.94927
0.97776;1.00000;1.24254;0.02618;1.58111;0.00620;0.12119;0.94763
0.85718;1.00000;1.18560;0.02650;1.46301;0.00574;0.12119;0.94594
0.86752;1.00000;1.20524;0.02733;1.48499;0.00582;0.12119;0.94165
0.93686;1.00000;1.23634;0.02690;1.55121;0.00608;0.12119;0.93786
1.04120;1.00000;1.37751;0.02884;1.72674;0.00677;0.12119;0.93795
1.19093;1.00000;1.62158;0.03289;2.01193;0.00789;0.12119;0.94036
1.21436;1.00000;1.79400;0.03736;2.16636;0.00850;0.12119;0.94381
1.29902;1.00000;2.07932;0.04271;2.45174;0.00961;0.12119;0.94804
1.41108;1.00000;2.30201;0.04652;2.70008;0.01059;0.12119;0.95608
1.37440;1.00000;2.38204;0.04912;2.75011;0.01078;0.12119;0.96166
1.36874;1.00000;2.50490;0.05085;2.85446;0.01119;0.12119;0.98154
1.46501;1.00000;2.55785;0.05240;2.94769;0.01156;0.12119;0.98145
1.56450;1.00000;2.65783;0.05662;3.08411;0.01209;0.12119;0.98049
