# MSE;MAE
0.0112086;0.0614205
0.0008402;0.0191712
0.0006042;0.0159281
0.0003975;0.0131361
0.0002397;0.0098802
0.0002265;0.0093081
0.0001737;0.0082516
0.0001860;0.0083663
0.0001474;0.0076165
0.0001541;0.0078824
0.0001358;0.0073687
0.0001270;0.0071949
0.0001278;0.0071307
0.0001312;0.0072105
0.0001191;0.0069610
0.0001170;0.0069266
0.0001187;0.0068992
0.0001080;0.0066622
0.0001085;0.0067161
0.0001127;0.0067447
0.0000997;0.0063978
0.0000913;0.0060556
0.0000901;0.0060354
0.0000862;0.0058894
0.0000818;0.0057616
0.0000794;0.0056782
0.0000756;0.0055277
0.0000747;0.0055006
0.0000687;0.0052266
0.0000704;0.0052995
0.0000679;0.0052124
0.0000635;0.0050589
0.0000670;0.0051866
0.0000589;0.0048316
0.0000626;0.0050314
0.0000583;0.0048258
0.0000557;0.0047540
0.0000615;0.0048509
0.0000517;0.0045899
0.0000508;0.0045551
0.0000512;0.0045597
0.0000512;0.0045939
0.0000481;0.0044099
0.0000469;0.0043808
0.0000472;0.0043931
0.0000474;0.0043485
0.0000432;0.0042023
0.0000444;0.0042742
0.0000404;0.0040440
0.0000424;0.0041921
0.0000423;0.0041405
0.0000408;0.0040864
0.0000404;0.0040814
0.0000401;0.0040466
0.0000380;0.0039359
0.0000369;0.0038984
0.0000382;0.0039614
0.0000359;0.0038513
0.0000341;0.0037753
0.0000347;0.0038031
0.0000377;0.0039449
0.0000343;0.0037683
0.0000354;0.0038388
0.0000339;0.0037173
0.0000329;0.0037318
0.0000344;0.0037771
0.0000317;0.0036547
0.0000315;0.0036433
0.0000314;0.0036293
0.0000324;0.0037096
0.0000289;0.0035041
0.0000311;0.0036362
0.0000286;0.0034750
0.0000309;0.0036276
0.0000290;0.0035108
0.0000285;0.0035015
0.0000299;0.0035666
0.0000281;0.0034614
0.0000278;0.0034420
0.0000297;0.0035057
0.0000266;0.0033796
0.0000275;0.0034228
0.0000270;0.0034003
0.0000265;0.0033642
0.0000271;0.0034099
0.0000249;0.0032761
0.0000279;0.0034677
0.0000253;0.0032847
0.0000259;0.0033293
0.0000267;0.0033907
0.0000240;0.0032482
0.0000261;0.0033472
0.0000242;0.0032407
0.0000243;0.0032538
0.0000263;0.0033470
0.0000220;0.0031138
0.0000255;0.0033162
0.0000237;0.0032154
0.0000245;0.0032416
0.0000214;0.0030844
0.0000302;0.0034251
0.0000220;0.0030953
0.0000223;0.0031302
0.0000218;0.0031157
0.0000223;0.0031371
0.0000218;0.0031023
0.0000214;0.0030746
0.0000219;0.0031282
0.0000214;0.0030990
0.0000222;0.0031355
0.0000210;0.0030557
0.0000217;0.0030727
0.0000204;0.0030282
0.0000207;0.0030420
0.0000210;0.0030609
0.0000216;0.0030631
0.0000203;0.0030026
0.0000203;0.0030264
0.0000219;0.0030760
0.0000200;0.0030036
0.0000196;0.0029689
0.0000209;0.0030534
0.0000202;0.0029518
0.0000207;0.0029821
0.0000186;0.0029008
0.0000202;0.0030093
0.0000201;0.0029866
0.0000179;0.0028533
0.0000189;0.0029241
0.0000191;0.0029388
0.0000184;0.0028918
0.0000197;0.0029559
0.0000183;0.0028889
0.0000187;0.0028908
0.0000190;0.0029407
0.0000187;0.0028984
0.0000175;0.0028100
0.0000190;0.0029159
0.0000177;0.0028504
0.0000177;0.0028430
0.0000162;0.0027412
0.0000198;0.0029463
0.0000183;0.0028913
0.0000174;0.0028190
0.0000172;0.0027958
0.0000180;0.0028643
0.0000169;0.0027773
0.0000170;0.0027957
0.0000189;0.0028741
0.0000177;0.0028368
0.0000187;0.0028802
0.0000169;0.0027749
0.0000160;0.0027037
0.0000164;0.0027278
0.0000169;0.0027806
0.0000181;0.0028668
0.0000156;0.0026852
0.0000175;0.0028196
0.0000163;0.0027229
0.0000164;0.0027440
0.0000164;0.0027548
0.0000171;0.0027905
0.0000164;0.0027433
0.0000161;0.0027189
0.0000157;0.0026959
0.0000165;0.0027505
0.0000157;0.0026921
0.0000164;0.0027427
0.0000157;0.0026934
0.0000155;0.0026875
0.0000153;0.0026701
0.0000167;0.0027580
0.0000148;0.0026368
0.0000164;0.0027035
0.0000158;0.0026988
0.0000147;0.0026207
0.0000160;0.0027327
0.0000147;0.0026261
0.0000158;0.0027030
0.0000150;0.0026356
0.0000155;0.0026848
0.0000151;0.0026655
0.0000148;0.0026401
0.0000155;0.0026547
0.0000162;0.0027004
0.0000145;0.0025969
0.0000158;0.0026957
0.0000155;0.0026546
0.0000139;0.0025611
0.0000151;0.0026434
0.0000154;0.0026775
0.0000136;0.0025368
0.0000156;0.0026725
0.0000147;0.0026142
0.0000146;0.0026083
0.0000153;0.0026471
0.0000153;0.0026700
0.0000143;0.0025883
0.0000148;0.0026225
0.0000141;0.0025752
0.0000142;0.0025817
0.0000141;0.0025802
0.0000144;0.0025872
0.0000146;0.0025909
0.0000136;0.0025390
0.0000150;0.0026327
0.0000136;0.0025254
0.0000137;0.0025443
0.0000149;0.0026251
0.0000138;0.0025436
0.0000144;0.0026051
0.0000135;0.0025350
0.0000137;0.0025195
0.0000144;0.0025759
0.0000141;0.0025807
0.0000144;0.0025750
0.0000136;0.0025180
0.0000135;0.0025326
0.0000146;0.0026025
0.0000133;0.0025131
0.0000135;0.0025145
0.0000129;0.0024794
0.0000148;0.0026199
0.0000131;0.0024881
0.0000126;0.0024571
0.0000139;0.0025550
0.0000145;0.0026092
0.0000131;0.0024880
0.0000134;0.0025202
0.0000131;0.0024935
0.0000133;0.0024993
0.0000126;0.0024546
0.0000133;0.0025123
0.0000129;0.0024647
0.0000132;0.0025094
0.0000150;0.0026014
0.0000120;0.0024008
0.0000127;0.0024517
0.0000143;0.0025763
0.0000129;0.0024726
0.0000123;0.0024389
0.0000135;0.0025180
0.0000131;0.0024881
0.0000124;0.0024375
0.0000130;0.0024812
0.0000129;0.0024699
0.0000133;0.0025201
0.0000124;0.0024309
0.0000126;0.0024473
0.0000124;0.0024394
0.0000120;0.0024064
0.0000131;0.0024963
0.0000126;0.0024422
0.0000124;0.0024377
0.0000129;0.0024734
0.0000123;0.0024336
0.0000126;0.0024597
0.0000124;0.0024232
0.0000119;0.0024070
0.0000125;0.0024403
0.0000126;0.0024532
0.0000128;0.0024600
0.0000120;0.0024084
0.0000125;0.0024464
0.0000125;0.0024139
0.0000127;0.0024530
0.0000123;0.0024148
0.0000126;0.0024417
0.0000120;0.0023907
0.0000128;0.0024539
0.0000124;0.0024261
0.0000135;0.0024691
0.0000124;0.0024239
0.0000116;0.0023644
0.0000119;0.0023914
0.0000133;0.0025121
0.0000120;0.0023845
0.0000122;0.0024043
0.0000127;0.0024571
0.0000115;0.0023525
0.0000119;0.0023902
0.0000126;0.0024063
0.0000123;0.0024199
0.0000116;0.0023574
0.0000118;0.0023867
0.0000117;0.0023656
0.0000128;0.0024488
0.0000115;0.0023491
0.0000116;0.0023616
0.0000121;0.0024085
0.0000116;0.0023648
0.0000120;0.0023955
0.0000120;0.0023940
0.0000126;0.0024189
0.0000113;0.0023431
0.0000123;0.0024144
0.0000111;0.0023244
0.0000118;0.0023784
0.0000129;0.0024503
0.0000120;0.0023994
0.0000111;0.0023104
0.0000119;0.0023875
0.0000116;0.0023656
0.0000113;0.0023386
0.0000114;0.0023509
0.0000115;0.0023488
0.0000116;0.0023359
0.0000111;0.0023272
0.0000117;0.0023679
0.0000109;0.0023011
0.0000115;0.0023449
0.0000111;0.0023241
0.0000118;0.0023794
0.0000111;0.0023157
0.0000112;0.0023237
0.0000116;0.0023620
0.0000111;0.0023110
0.0000115;0.0023505
0.0000111;0.0023191
0.0000110;0.0023050
0.0000118;0.0023729
0.0000111;0.0023131
0.0000109;0.0023052
0.0000113;0.0023421
0.0000105;0.0022658
0.0000112;0.0023301
0.0000122;0.0023793
0.0000111;0.0023221
0.0000105;0.0022660
0.0000117;0.0023600
0.0000110;0.0023054
0.0000117;0.0023613
0.0000104;0.0022599
0.0000114;0.0023420
0.0000118;0.0023489
0.0000111;0.0023200
0.0000107;0.0022752
0.0000115;0.0023466
0.0000106;0.0022616
0.0000110;0.0023168
0.0000110;0.0023076
0.0000108;0.0022887
0.0000108;0.0022897
0.0000117;0.0023528
0.0000106;0.0022680
0.0000107;0.0022834
0.0000111;0.0023213
0.0000107;0.0022868
0.0000112;0.0023253
0.0000108;0.0023014
0.0000108;0.0022922
0.0000111;0.0023154
0.0000102;0.0022286
0.0000119;0.0023758
0.0000103;0.0022491
0.0000107;0.0022819
0.0000110;0.0023010
0.0000101;0.0022268
0.0000108;0.0022852
0.0000105;0.0022631
0.0000111;0.0023154
0.0000107;0.0022858
0.0000109;0.0022933
0.0000108;0.0022958
0.0000113;0.0023197
0.0000113;0.0023106
0.0000107;0.0022687
0.0000104;0.0022541
0.0000114;0.0023374
0.0000107;0.0022796
0.0000105;0.0022606
0.0000106;0.0022650
0.0000102;0.0022438
0.0000115;0.0022962
0.0000110;0.0023077
0.0000110;0.0023048
0.0000106;0.0022696
0.0000103;0.0022385
0.0000108;0.0022950
0.0000104;0.0022533
0.0000111;0.0023203
0.0000104;0.0022483
0.0000108;0.0022861
0.0000109;0.0022875
0.0000113;0.0023235
0.0000108;0.0022709
0.0000106;0.0022628
0.0000102;0.0022285
0.0000102;0.0022387
