# mean; median; std; sam; rmse; rmse; ergas; uqi
0.89899;1.00000;1.12037;0.09932;1.43646;0.00563;0.98315;0.98621
0.78352;1.00000;1.36099;0.13487;1.57042;0.00616;0.98315;0.95775
0.69392;1.00000;1.27949;0.12221;1.45555;0.00571;0.98315;0.82514
0.56442;0.00000;1.04943;0.10533;1.19158;0.00467;0.98315;0.79886
0.49350;0.00000;0.86246;0.08527;0.99367;0.00390;0.98315;0.80553
0.44265;0.00000;0.76151;0.07725;0.88082;0.00345;0.98315;0.76924
0.40014;0.00000;0.69260;0.07194;0.79988;0.00314;0.98315;0.75261
0.41886;0.00000;0.66419;0.06981;0.78524;0.00308;0.98315;0.75969
0.43281;0.00000;0.65608;0.06381;0.78598;0.00308;0.98315;0.75963
0.53532;0.00000;0.78503;0.05359;0.95018;0.00373;0.98315;0.76540
0.56924;0.00000;1.01995;0.04524;1.16805;0.00458;0.98315;0.77426
0.61120;0.00000;1.24236;0.03788;1.38456;0.00543;0.98315;0.78076
0.63581;0.00000;1.25660;0.03443;1.40830;0.00552;0.98315;0.77446
0.58575;0.00000;1.13026;0.03265;1.27302;0.00499;0.98315;0.74502
0.58457;0.00000;1.00862;0.03273;1.16578;0.00457;0.98315;0.67316
0.51378;0.00000;0.91544;0.03294;1.04976;0.00412;0.98315;0.66524
0.49775;0.00000;0.89881;0.03377;1.02743;0.00403;0.98315;0.70966
0.44559;0.00000;0.85228;0.03481;0.96174;0.00377;0.98315;0.74658
0.46244;0.00000;0.87360;0.03658;0.98845;0.00388;0.98315;0.75597
0.56361;0.00000;1.23067;0.03950;1.35359;0.00531;0.98315;0.76085
0.70690;0.00000;2.02576;0.04069;2.14555;0.00841;0.98315;0.79056
0.70282;0.00000;2.37945;0.03676;2.48108;0.00973;0.98315;0.81133
0.74036;0.00000;2.19292;0.03245;2.31452;0.00908;0.98315;0.79676
0.80112;0.00000;2.20101;0.03339;2.34227;0.00919;0.98315;0.80015
0.80420;0.00000;2.17106;0.03392;2.31522;0.00908;0.98315;0.81153
0.74546;0.00000;1.97031;0.03387;2.10662;0.00826;0.98315;0.81857
0.73380;0.00000;1.76487;0.03370;1.91134;0.00750;0.98315;0.82158
0.72902;0.00000;1.57746;0.03353;1.73777;0.00681;0.98315;0.83101
0.80673;0.00000;1.58399;0.03603;1.77759;0.00697;0.98315;0.83978
0.94349;1.00000;1.66034;0.04000;1.90968;0.00749;0.98315;0.86145
1.21681;1.00000;1.88923;0.04763;2.24718;0.00881;0.98315;0.89542
