# MSE;MAE
0.1953440;0.4196403
0.1940961;0.4182292
0.1921962;0.4160382
0.1885637;0.4117999
0.1805780;0.4021148
0.1635112;0.3810253
0.1328747;0.3412558
0.0916815;0.2823224
0.0600939;0.2138107
0.0462214;0.1642255
0.0385105;0.1335852
0.0355298;0.1176691
0.0341487;0.1081556
0.0335458;0.1026225
0.0332021;0.0990616
0.0330603;0.0970042
0.0329479;0.0954065
0.0328966;0.0944955
0.0328488;0.0937737
0.0328242;0.0932709
0.0328004;0.0928283
0.0327845;0.0925086
0.0327704;0.0922597
0.0327581;0.0920176
0.0327467;0.0917949
0.0327367;0.0915946
0.0327277;0.0913943
0.0327201;0.0911985
0.0327126;0.0910438
0.0327060;0.0909230
0.0326997;0.0908366
0.0326937;0.0907614
0.0326867;0.0906930
0.0326802;0.0906504
0.0326731;0.0906036
0.0326668;0.0906017
0.0326565;0.0906067
0.0326456;0.0905706
0.0326355;0.0905595
0.0326254;0.0905780
0.0326093;0.0905609
0.0325969;0.0906115
0.0325729;0.0906812
0.0325420;0.0907346
0.0325063;0.0908766
0.0324645;0.0911963
0.0323579;0.0914106
0.0322371;0.0917440
0.0320478;0.0922534
0.0318674;0.0929012
0.0316433;0.0932586
0.0312073;0.0934211
0.0306313;0.0943103
0.0303159;0.0953651
0.0296999;0.0940338
0.0290805;0.0925724
0.0278717;0.0921817
0.0264500;0.0919355
0.0244520;0.0896811
0.0212850;0.0859574
0.0178355;0.0835571
0.0158620;0.0852088
0.0146815;0.0838677
0.0135163;0.0771096
0.0127763;0.0715476
0.0120734;0.0695209
0.0114543;0.0683378
0.0109784;0.0665538
0.0105422;0.0644898
0.0101848;0.0628307
0.0098928;0.0617213
0.0096201;0.0603811
0.0094055;0.0597226
0.0091458;0.0588884
0.0089481;0.0574583
0.0087459;0.0564197
0.0085728;0.0560734
0.0083901;0.0550170
0.0082425;0.0536359
0.0080601;0.0531285
0.0078943;0.0529244
0.0077289;0.0520655
0.0075838;0.0507139
0.0074579;0.0495630
0.0072725;0.0490491
0.0071277;0.0489614
0.0069693;0.0483028
0.0068174;0.0476177
0.0066683;0.0466166
0.0065312;0.0460467
0.0064116;0.0456592
0.0062376;0.0443128
0.0061029;0.0432787
0.0059523;0.0427664
0.0058304;0.0425666
0.0057339;0.0423052
0.0056132;0.0414588
0.0055303;0.0405439
0.0054563;0.0402932
0.0053752;0.0399681
0.0052963;0.0396550
0.0052447;0.0395627
0.0051936;0.0389071
0.0051378;0.0385515
0.0050710;0.0387089
0.0050079;0.0384319
0.0049491;0.0380425
0.0048875;0.0378369
0.0048402;0.0376667
0.0047784;0.0372109
0.0047362;0.0367876
0.0046745;0.0367306
0.0046403;0.0365752
0.0045780;0.0366424
0.0045103;0.0363437
0.0045122;0.0360619
0.0044237;0.0361407
0.0043906;0.0362267
0.0043011;0.0353313
0.0042757;0.0350903
0.0042086;0.0353077
0.0041605;0.0352373
0.0041328;0.0349852
0.0040962;0.0352669
0.0040166;0.0350836
0.0039366;0.0343847
0.0039062;0.0339596
0.0038420;0.0336163
0.0037672;0.0335314
0.0037217;0.0334686
0.0036488;0.0331900
0.0035968;0.0330184
0.0035597;0.0327742
0.0034912;0.0322534
0.0034386;0.0321892
0.0033922;0.0317957
0.0033746;0.0317229
0.0033014;0.0314844
0.0033193;0.0316833
0.0032488;0.0309717
0.0031949;0.0308416
0.0031533;0.0306630
0.0031254;0.0302914
0.0030986;0.0302862
0.0030514;0.0299258
0.0030216;0.0297659
0.0029993;0.0295382
0.0029510;0.0292708
0.0029313;0.0292062
0.0028759;0.0290187
0.0028297;0.0287862
0.0027837;0.0285194
0.0027284;0.0282821
0.0026674;0.0281334
0.0025905;0.0280299
0.0024982;0.0275449
0.0023960;0.0274670
0.0022758;0.0272217
0.0021380;0.0262891
0.0019801;0.0255698
0.0018133;0.0248122
0.0017007;0.0241873
0.0015552;0.0235703
0.0014396;0.0225699
0.0013338;0.0218609
0.0012897;0.0213638
