# mean; median; std; sam; rmse; rmse; ergas; uqi
3.62439;3.00000;3.34230;0.12804;4.93023;0.01933;0.06920;0.98858
3.58965;2.00000;3.82316;0.14302;5.24425;0.02057;0.06920;0.98735
2.42110;1.00000;3.46766;0.14313;4.22923;0.01659;0.06920;0.99082
1.77034;1.00000;3.11403;0.12588;3.58208;0.01405;0.06920;0.99341
1.16100;1.00000;2.62160;0.10069;2.86717;0.01124;0.06920;0.99632
1.01326;1.00000;2.64479;0.10471;2.83224;0.01111;0.06920;0.99520
1.27491;1.00000;2.74492;0.11020;3.02654;0.01187;0.06920;0.99154
1.35655;1.00000;2.59864;0.10551;2.93141;0.01150;0.06920;0.99013
1.42752;1.00000;2.51282;0.10361;2.89000;0.01133;0.06920;0.99171
1.30336;1.00000;2.46079;0.10158;2.78465;0.01092;0.06920;0.99081
1.14951;1.00000;2.31984;0.09963;2.58902;0.01015;0.06920;0.99199
1.13906;1.00000;2.09071;0.08625;2.38086;0.00934;0.06920;0.99055
1.27320;1.00000;2.00957;0.07744;2.37895;0.00933;0.06920;0.98950
1.39245;1.00000;2.09147;0.07882;2.51260;0.00985;0.06920;0.98852
1.28467;1.00000;2.04430;0.07980;2.41444;0.00947;0.06920;0.98879
1.22179;1.00000;1.97942;0.07760;2.32613;0.00912;0.06920;0.98879
1.31605;1.00000;1.91510;0.07286;2.32370;0.00911;0.06920;0.98763
1.45581;1.00000;1.86679;0.06806;2.36734;0.00928;0.06920;0.98856
1.47126;1.00000;1.76762;0.06079;2.29980;0.00902;0.06920;0.99230
1.27074;1.00000;1.62021;0.05657;2.05909;0.00807;0.06920;0.99467
1.25083;1.00000;1.60422;0.05229;2.03423;0.00798;0.06920;0.99475
1.12532;1.00000;1.49976;0.04399;1.87500;0.00735;0.06920;0.99597
1.28856;1.00000;1.47456;0.04166;1.95824;0.00768;0.06920;0.99672
1.71718;1.00000;1.64877;0.04670;2.38057;0.00934;0.06920;0.99647
2.22568;2.00000;1.94849;0.05251;2.95808;0.01160;0.06920;0.99511
2.87568;2.00000;2.44701;0.06259;3.77590;0.01481;0.06920;0.99464
3.90691;3.00000;3.32406;0.07825;5.12965;0.02012;0.06920;0.99291
4.88516;4.00000;4.11000;0.08853;6.38411;0.02504;0.06920;0.99027
6.34889;5.00000;5.34583;0.10663;8.29978;0.03255;0.06920;0.98660
7.68662;6.00000;6.46928;0.12162;10.04668;0.03940;0.06920;0.98258
8.89729;7.00000;7.48119;0.13225;11.62454;0.04559;0.06920;0.97886
