# MSE;MAE
0.1393612;0.3575357
0.0812490;0.2578917
0.0137130;0.0907697
0.0082639;0.0688182
0.0069251;0.0652481
0.0067952;0.0643539
0.0066886;0.0634900
0.0065441;0.0634664
0.0063584;0.0617877
0.0062038;0.0619439
0.0059596;0.0605708
0.0056472;0.0583885
0.0052989;0.0573385
0.0048898;0.0548306
0.0044100;0.0518378
0.0040101;0.0495370
0.0035138;0.0462229
0.0030564;0.0421264
0.0027964;0.0396187
0.0025820;0.0374037
0.0024578;0.0360153
0.0024365;0.0357136
0.0023220;0.0348196
0.0022184;0.0338538
0.0021462;0.0332934
0.0020896;0.0327311
0.0020111;0.0319319
0.0019901;0.0317730
0.0019463;0.0314588
0.0019264;0.0312555
0.0018455;0.0303267
0.0018028;0.0296572
0.0018065;0.0301890
0.0017810;0.0295495
0.0017447;0.0294292
0.0017708;0.0297344
0.0016997;0.0289076
0.0016775;0.0289200
0.0016627;0.0285303
0.0016314;0.0285050
0.0016124;0.0283417
0.0016125;0.0280918
0.0016072;0.0284336
0.0015882;0.0280950
0.0015759;0.0280929
0.0015783;0.0283029
0.0015673;0.0280733
0.0015271;0.0278009
0.0015511;0.0282668
0.0015390;0.0280245
0.0014987;0.0277110
0.0014932;0.0275955
0.0014840;0.0275945
0.0014827;0.0274761
0.0014622;0.0275516
0.0014539;0.0273920
0.0014498;0.0273319
0.0014391;0.0274375
0.0014363;0.0273886
0.0014177;0.0272045
0.0014148;0.0272122
0.0014156;0.0273299
0.0014045;0.0272853
0.0013953;0.0273463
0.0013961;0.0274132
0.0013791;0.0271206
0.0013646;0.0270560
0.0013553;0.0271140
0.0013501;0.0269958
0.0013445;0.0270320
0.0013492;0.0271684
0.0013478;0.0271910
0.0013477;0.0273397
0.0013274;0.0271888
0.0013270;0.0270769
0.0013257;0.0272423
0.0013066;0.0268943
0.0013105;0.0271802
0.0012991;0.0269441
0.0013049;0.0270590
0.0012928;0.0270730
0.0012842;0.0268867
0.0012966;0.0271785
0.0012837;0.0268494
0.0012677;0.0269125
0.0012825;0.0269826
0.0012880;0.0271464
0.0012618;0.0269312
0.0012628;0.0269015
0.0012790;0.0271821
0.0012735;0.0270679
0.0012396;0.0268403
0.0012318;0.0267599
0.0012528;0.0267886
0.0012262;0.0267394
0.0012247;0.0266293
0.0012259;0.0266528
