# mean; median; std; sam; rmse; rmse; ergas; uqi
2.69110;1.00000;4.33542;0.27202;5.10274;0.02001;0.07698;0.94846
2.90826;1.00000;6.26442;0.26625;6.90658;0.02708;0.07698;0.88428
2.71483;1.00000;5.40352;0.22702;6.04718;0.02371;0.07698;0.64312
2.99054;1.00000;5.51401;0.22731;6.27276;0.02460;0.07698;0.65793
3.13605;1.00000;5.71897;0.22110;6.52238;0.02558;0.07698;0.68758
2.93508;1.00000;5.94993;0.23746;6.63448;0.02602;0.07698;0.75288
2.59275;1.00000;5.66865;0.22359;6.23346;0.02444;0.07698;0.81983
2.68013;0.00000;5.85234;0.23005;6.43685;0.02524;0.07698;0.83102
2.41411;1.00000;5.33916;0.21743;5.85957;0.02298;0.07698;0.78539
2.09485;1.00000;5.50456;0.21509;5.88970;0.02310;0.07698;0.73857
2.30709;1.00000;6.88240;0.24030;7.25880;0.02847;0.07698;0.70498
2.53418;1.00000;7.90104;0.24204;8.29750;0.03254;0.07698;0.71861
2.97857;1.00000;9.65276;0.26957;10.10186;0.03962;0.07698;0.69755
3.75985;1.00000;11.75073;0.31862;12.33759;0.04838;0.07698;0.67562
4.25794;1.00000;13.07671;0.35091;13.75247;0.05393;0.07698;0.67852
4.65263;1.00000;14.19851;0.37228;14.94137;0.05859;0.07698;0.70274
4.66164;1.00000;14.21572;0.36048;14.96053;0.05867;0.07698;0.72369
4.62843;1.00000;13.99217;0.33282;14.73781;0.05780;0.07698;0.72787
4.36320;1.00000;12.95265;0.28734;13.66780;0.05360;0.07698;0.74863
4.05845;1.00000;11.63771;0.23928;12.32507;0.04833;0.07698;0.77967
3.66527;1.00000;9.97815;0.18750;10.63004;0.04169;0.07698;0.81329
3.41026;1.00000;8.49535;0.15597;9.15427;0.03590;0.07698;0.83470
3.40339;1.00000;7.95186;0.14647;8.64957;0.03392;0.07698;0.84133
3.41859;1.00000;7.34732;0.13704;8.10369;0.03178;0.07698;0.84985
3.71702;1.00000;7.24443;0.13661;8.14236;0.03193;0.07698;0.86593
4.02507;1.00000;6.60204;0.13561;7.73227;0.03032;0.07698;0.86325
4.58084;2.00000;6.77479;0.14553;8.17813;0.03207;0.07698;0.86079
5.38581;2.00000;7.59635;0.16139;9.31190;0.03652;0.07698;0.85135
6.10405;2.00000;8.83932;0.17651;10.74211;0.04213;0.07698;0.84378
6.82619;2.00000;9.98404;0.18943;12.09454;0.04743;0.07698;0.85114
7.94612;3.00000;10.53708;0.20179;13.19738;0.05175;0.07698;0.83174
