# MSE;MAE
0.1019891;0.2561711
0.0252414;0.0797524
0.0251905;0.0781059
0.0251816;0.0776106
0.0251787;0.0773806
0.0251775;0.0772677
0.0251765;0.0772134
0.0251755;0.0771668
0.0251739;0.0771563
0.0251703;0.0771735
0.0251591;0.0771825
0.0251274;0.0770671
0.0249312;0.0769821
0.0157283;0.0620573
0.0028313;0.0295096
0.0015718;0.0229020
0.0012018;0.0198178
0.0011279;0.0192695
0.0009234;0.0172677
0.0007400;0.0157617
0.0005768;0.0139514
0.0004512;0.0123146
0.0003969;0.0115147
0.0003700;0.0109151
0.0003155;0.0100552
0.0003132;0.0100239
0.0003089;0.0098298
0.0003688;0.0104768
0.0002576;0.0088957
0.0003237;0.0099237
0.0002480;0.0087362
0.0002396;0.0085538
0.0002246;0.0083115
0.0002349;0.0084054
0.0002071;0.0080003
0.0001953;0.0077720
0.0001940;0.0077186
0.0001843;0.0075246
0.0001925;0.0076678
0.0001779;0.0073863
0.0001762;0.0073677
0.0001743;0.0072895
0.0001683;0.0071536
0.0001675;0.0072121
0.0002213;0.0080590
0.0001523;0.0068325
0.0001627;0.0070914
0.0002557;0.0084227
0.0001594;0.0070801
0.0001508;0.0067768
0.0001654;0.0071522
0.0001361;0.0064561
0.0001351;0.0063991
0.0001406;0.0065268
0.0001412;0.0065673
0.0001466;0.0067144
0.0001391;0.0065031
0.0001367;0.0064056
0.0001337;0.0063453
0.0001340;0.0063516
0.0001270;0.0061834
0.0001389;0.0064861
0.0001207;0.0060518
0.0001437;0.0066417
0.0001304;0.0062691
0.0001290;0.0062824
0.0001338;0.0064513
0.0001604;0.0068423
0.0001218;0.0061444
0.0001102;0.0057424
0.0001151;0.0059306
0.0001094;0.0057568
0.0001608;0.0069151
0.0001179;0.0059147
0.0001116;0.0057879
0.0001268;0.0061162
0.0001194;0.0059856
0.0001120;0.0057878
0.0001036;0.0055524
0.0000974;0.0053927
0.0001047;0.0055157
0.0001003;0.0054891
0.0001001;0.0055187
0.0001032;0.0055964
0.0000995;0.0055058
0.0003917;0.0092589
0.0001027;0.0054718
0.0001056;0.0055503
0.0000914;0.0052385
0.0001383;0.0062150
0.0000930;0.0052300
0.0000914;0.0052243
0.0001036;0.0055580
0.0001204;0.0059151
0.0000994;0.0053830
0.0001194;0.0058140
0.0000830;0.0049234
0.0001011;0.0054527
0.0000861;0.0050752
0.0000927;0.0051986
0.0000839;0.0049768
0.0000853;0.0050652
0.0000888;0.0051615
0.0000891;0.0051869
0.0000962;0.0053660
0.0000938;0.0052761
0.0000932;0.0052771
0.0001167;0.0058760
0.0000828;0.0049601
0.0000820;0.0049503
0.0000799;0.0049001
0.0000879;0.0050716
0.0001172;0.0057671
0.0000838;0.0049807
0.0000831;0.0049717
0.0000836;0.0049529
0.0000996;0.0054440
0.0000794;0.0048813
0.0001387;0.0060720
0.0000940;0.0052676
0.0000859;0.0049874
0.0000781;0.0047625
0.0000785;0.0048953
0.0000761;0.0047554
0.0000848;0.0050973
0.0000843;0.0049907
0.0000903;0.0050737
0.0000850;0.0049427
0.0000776;0.0047214
0.0000838;0.0049570
0.0000831;0.0049701
0.0000785;0.0047893
0.0000812;0.0048848
0.0000771;0.0047871
0.0000893;0.0051171
0.0000759;0.0047859
0.0000862;0.0050098
0.0000947;0.0052397
0.0000760;0.0047819
0.0000774;0.0047366
0.0000915;0.0051305
0.0000821;0.0049742
0.0000704;0.0046081
0.0000728;0.0045766
0.0000949;0.0053263
0.0000990;0.0051610
0.0000705;0.0045811
0.0000713;0.0046423
0.0000645;0.0043892
0.0000717;0.0046088
0.0000668;0.0044553
0.0000768;0.0047700
0.0000928;0.0051492
0.0000814;0.0049011
0.0000692;0.0044800
0.0000809;0.0048118
0.0000818;0.0048792
0.0000752;0.0046040
0.0000732;0.0046950
0.0000753;0.0047122
0.0000797;0.0047361
0.0000733;0.0046454
0.0001424;0.0059053
0.0000961;0.0052697
0.0000608;0.0041981
0.0000674;0.0044950
0.0000591;0.0042224
0.0000636;0.0042907
0.0000600;0.0041846
0.0000615;0.0042858
0.0000788;0.0048617
0.0000687;0.0045021
0.0000728;0.0046797
0.0000567;0.0041277
0.0000662;0.0043844
0.0000603;0.0041818
0.0000717;0.0045379
0.0000769;0.0048126
0.0000590;0.0041882
0.0000599;0.0042104
0.0000674;0.0044837
