# mean; median; std; sam; rmse; rmse; ergas; uqi
2.71546;1.00000;4.83823;0.16250;5.54817;0.02176;0.11845;0.98537
2.98733;1.00000;6.73764;0.16798;7.37020;0.02890;0.11845;0.98445
2.26393;1.00000;6.35774;0.15564;6.74879;0.02647;0.11845;0.98566
2.00010;1.00000;6.68057;0.14991;6.97355;0.02735;0.11845;0.98428
1.85506;1.00000;6.41257;0.14073;6.67550;0.02618;0.11845;0.98151
1.55191;1.00000;6.08773;0.13779;6.28242;0.02464;0.11845;0.98295
1.43674;1.00000;5.79688;0.13961;5.97227;0.02342;0.11845;0.98383
1.51880;1.00000;5.94824;0.13785;6.13908;0.02407;0.11845;0.98056
1.63795;1.00000;6.23914;0.14171;6.45056;0.02530;0.11845;0.98189
1.65540;1.00000;5.97886;0.14666;6.20380;0.02433;0.11845;0.98293
1.70161;1.00000;6.11139;0.14796;6.34386;0.02488;0.11845;0.98296
1.54760;1.00000;5.57135;0.13218;5.78230;0.02268;0.11845;0.97832
1.49504;1.00000;5.19515;0.11828;5.40599;0.02120;0.11845;0.97021
1.53791;1.00000;5.07355;0.11492;5.30152;0.02079;0.11845;0.97818
1.37784;1.00000;4.75021;0.11301;4.94600;0.01940;0.11845;0.98228
1.19820;0.00000;4.41528;0.11054;4.57497;0.01794;0.11845;0.98402
1.25169;1.00000;4.32971;0.11309;4.50701;0.01767;0.11845;0.97977
1.20898;1.00000;4.18749;0.10805;4.35852;0.01709;0.11845;0.97999
1.23770;1.00000;4.26538;0.10565;4.44132;0.01742;0.11845;0.98067
1.46591;1.00000;4.52835;0.10620;4.75971;0.01867;0.11845;0.97344
1.53894;1.00000;4.75559;0.10688;4.99839;0.01960;0.11845;0.97325
1.69804;1.00000;4.74367;0.10095;5.03842;0.01976;0.11845;0.97548
1.75251;1.00000;4.82605;0.09621;5.13440;0.02013;0.11845;0.97211
1.88527;1.00000;5.00359;0.09905;5.34697;0.02097;0.11845;0.97711
1.83095;1.00000;5.33279;0.10843;5.63835;0.02211;0.11845;0.98235
1.87734;1.00000;5.47911;0.11083;5.79181;0.02271;0.11845;0.98582
2.04344;1.00000;5.50930;0.10938;5.87605;0.02304;0.11845;0.98445
2.29671;1.00000;5.78982;0.11597;6.22872;0.02443;0.11845;0.98104
2.68417;1.00000;6.24203;0.11993;6.79468;0.02665;0.11845;0.98134
3.36835;2.00000;6.91110;0.12841;7.68825;0.03015;0.11845;0.97964
4.52940;3.00000;7.91753;0.14765;9.12155;0.03577;0.11845;0.97467
