# MSE;MAE
0.0788186;0.2224052
0.0309690;0.1155575
0.0202340;0.1039235
0.0083800;0.0645272
0.0061581;0.0533506
0.0029863;0.0336225
0.0021576;0.0261465
0.0018565;0.0243956
0.0015710;0.0222826
0.0012709;0.0199754
0.0011174;0.0189416
0.0010107;0.0177978
0.0009542;0.0174086
0.0008887;0.0167562
0.0008363;0.0161388
0.0008108;0.0159891
0.0007622;0.0154244
0.0007316;0.0152587
0.0006859;0.0145553
0.0006445;0.0140430
0.0007924;0.0158243
0.0006533;0.0143840
0.0006276;0.0139945
0.0005848;0.0134366
0.0005567;0.0130377
0.0005338;0.0127991
0.0005712;0.0133777
0.0005149;0.0125741
0.0005117;0.0125188
0.0004956;0.0123132
0.0005107;0.0126793
0.0004490;0.0118664
0.0004101;0.0114185
0.0003704;0.0107652
0.0003911;0.0110676
0.0004387;0.0119939
0.0003450;0.0103879
0.0003396;0.0103121
0.0003516;0.0106361
0.0003075;0.0097385
0.0003690;0.0110308
0.0002915;0.0095072
0.0002915;0.0094755
0.0002881;0.0095188
0.0002733;0.0092382
0.0003041;0.0099208
0.0002671;0.0091852
0.0002711;0.0092905
0.0002575;0.0090894
0.0002631;0.0092080
0.0002460;0.0088084
0.0002863;0.0096939
0.0002645;0.0093701
0.0002270;0.0084592
0.0002331;0.0086970
0.0002421;0.0088902
0.0002205;0.0083672
0.0002156;0.0082926
0.0002144;0.0083097
0.0002253;0.0086367
0.0002006;0.0079640
0.0001933;0.0078406
0.0001967;0.0079467
0.0001967;0.0079555
0.0002102;0.0084697
0.0002159;0.0084429
0.0002085;0.0082905
0.0001932;0.0079909
0.0001885;0.0077997
0.0001925;0.0079682
0.0001765;0.0075167
0.0001936;0.0079735
0.0001904;0.0078454
0.0001959;0.0081393
0.0002061;0.0081987
0.0001695;0.0073840
0.0001861;0.0078458
0.0001802;0.0076858
0.0001660;0.0073338
0.0001776;0.0077180
0.0001964;0.0080389
0.0001812;0.0076142
0.0002227;0.0086434
0.0001987;0.0081057
0.0001539;0.0069183
0.0001531;0.0069627
0.0001626;0.0071654
0.0001577;0.0071206
0.0001556;0.0069844
